season,race_name,team,driver,lap_number,stint_index,compound,lap_time,track_status,interval_to_car_ahead,in_traffic
2024,Sakhir,Red Bull,VER,2,1,SOFT,96.296,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,3,1,SOFT,96.753,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,4,1,SOFT,96.647,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,5,1,SOFT,97.173,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,6,1,SOFT,97.092,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,7,1,SOFT,97.038,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,8,1,SOFT,97.024,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,9,1,SOFT,97.229,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,10,1,SOFT,96.96,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,11,1,SOFT,97.085,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,12,1,SOFT,97.045,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,13,1,SOFT,97.03,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,14,1,SOFT,97.028,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,15,1,SOFT,97.011,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,16,1,SOFT,97.168,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,17,1,SOFT,99.896,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,18,2,HARD,117.854,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,19,2,HARD,95.283,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,20,2,HARD,95.16,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,21,2,HARD,95.316,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,22,2,HARD,95.204,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,23,2,HARD,95.216,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,24,2,HARD,95.289,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,25,2,HARD,95.342,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,26,2,HARD,95.223,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,27,2,HARD,95.581,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,28,2,HARD,95.477,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,29,2,HARD,95.793,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,30,2,HARD,95.771,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,31,2,HARD,95.679,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,32,2,HARD,95.886,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,33,2,HARD,95.863,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,34,2,HARD,96.133,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,35,2,HARD,96.018,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,36,2,HARD,96.205,Yellow Flag,0.0,False
2024,Sakhir,Red Bull,VER,37,2,HARD,99.234,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,38,3,SOFT,116.445,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,39,3,SOFT,92.608,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,40,3,SOFT,96.589,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,41,3,SOFT,95.29,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,42,3,SOFT,94.667,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,43,3,SOFT,94.151,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,44,3,SOFT,94.531,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,45,3,SOFT,94.249,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,46,3,SOFT,94.193,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,47,3,SOFT,94.239,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,48,3,SOFT,94.35,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,49,3,SOFT,94.403,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,50,3,SOFT,94.783,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,51,3,SOFT,94.34,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,52,3,SOFT,94.906,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,53,3,SOFT,95.6,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,54,3,SOFT,95.334,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,55,3,SOFT,95.184,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,56,3,SOFT,94.671,Green Flag,0.0,False
2024,Sakhir,Red Bull,VER,57,3,SOFT,94.923,Green Flag,0.0,False
2024,Sakhir,Ferrari,LEC,2,1,SOFT,96.862,Green Flag,1.287,True
2024,Sakhir,Ferrari,LEC,3,1,SOFT,98.062,Green Flag,0.59,True
2024,Sakhir,Ferrari,LEC,4,1,SOFT,97.752,Green Flag,0.667,True
2024,Sakhir,Ferrari,LEC,5,1,SOFT,98.131,Green Flag,0.626,True
2024,Sakhir,Ferrari,LEC,6,1,SOFT,97.782,Green Flag,0.538,True
2024,Sakhir,Ferrari,LEC,7,1,SOFT,98.957,Green Flag,0.616,True
2024,Sakhir,Ferrari,LEC,8,1,SOFT,98.136,Green Flag,0.543,True
2024,Sakhir,Ferrari,LEC,9,1,SOFT,97.844,Green Flag,0.995,True
2024,Sakhir,Ferrari,LEC,10,1,SOFT,97.884,Green Flag,0.988,True
2024,Sakhir,Ferrari,LEC,11,1,SOFT,101.737,Green Flag,0.751,True
2024,Sakhir,Ferrari,LEC,12,2,HARD,117.471,Green Flag,1.225,True
2024,Sakhir,Ferrari,LEC,13,2,HARD,96.432,Green Flag,1.138,True
2024,Sakhir,Ferrari,LEC,14,2,HARD,96.756,Green Flag,1.167,True
2024,Sakhir,Ferrari,LEC,15,2,HARD,96.813,Green Flag,0.89,True
2024,Sakhir,Ferrari,LEC,16,2,HARD,96.673,Green Flag,0.543,True
2024,Sakhir,Ferrari,LEC,17,2,HARD,97.302,Green Flag,0.732,True
2024,Sakhir,Ferrari,LEC,18,2,HARD,97.438,Green Flag,1.328,True
