season,race_name,driver,team,fp1_pos,fp1_time_fastest_lap,fp2_pos,fp2_time_fastest_lap,fp3_pos,fp3_time_fastest_lap,Qualifying_Final_Grid_Position,Q1_time_seconds,Q1_position,Q1_fastest_lap,Q2_time_seconds,Q2_position,Q2_fastest_lap,Q3_time_seconds,Q3_position,Q3_fastest_lap,Race_Finishing_Position,fastest_lap
2024,Abu Dhabi Grand Prix,ALB,Williams,,,9.0,1:24.269,12.0,1:24.378,16,83.821,16.0,1:23.820,,,,,,,11.0,1:29.438
2024,Abu Dhabi Grand Prix,ALO,Aston Martin,11.0,1:25.504,16.0,1:24.573,15.0,1:24.453,8,83.794,15.0,1:23.793,83.268,7.0,1:23.268,83.196,8.0,1:23.195,9.0,1:27.947
2024,Abu Dhabi Grand Prix,BOT,Sauber,13.0,1:25.611,7.0,1:24.230,16.0,1:24.478,9,83.481,2.0,1:23.480,83.341,9.0,1:23.340,83.204,9.0,1:23.203,18.0,1:29.481
2024,Abu Dhabi Grand Prix,COL,Williams,7.0,1:25.382,20.0,1:25.265,20.0,1:24.766,19,83.912,19.0,1:23.912,,,,,,,19.0,1:29.411
2024,Abu Dhabi Grand Prix,DOO,Alpine,19.0,1:26.304,19.0,1:24.960,14.0,1:24.433,20,84.105,20.0,1:24.105,,,,,,,15.0,1:29.120
2024,Abu Dhabi Grand Prix,GAS,Alpine,5.0,1:25.332,12.0,1:24.516,13.0,1:24.408,6,83.548,5.0,1:23.548,83.086,4.0,1:23.085,82.984,6.0,1:22.983,7.0,1:29.212
2024,Abu Dhabi Grand Prix,HAM,Mercedes,3.0,1:24.805,5.0,1:24.118,3.0,1:23.822,18,83.887,18.0,1:23.887,,,,,,,4.0,1:27.278
2024,Abu Dhabi Grand Prix,HUL,Haas,6.0,1:25.373,3.0,1:23.978,7.0,1:24.093,4,83.722,11.0,1:23.721,83.04,3.0,1:23.040,82.886,4.0,1:22.885,8.0,1:29.152
2024,Abu Dhabi Grand Prix,LAW,RB,12.0,1:25.563,11.0,1:24.503,17.0,1:24.519,12,83.733,13.0,1:23.733,83.472,12.0,1:23.471,,,,17.0,1:28.751
2024,Abu Dhabi Grand Prix,LEC,Ferrari,1.0,1:24.320,6.0,1:24.200,9.0,1:24.097,14,83.302,1.0,1:23.302,83.833,14.0,1:23.832,,,,3.0,1:28.018
2024,Abu Dhabi Grand Prix,MAG,Haas,8.0,1:25.444,8.0,1:24.234,8.0,1:24.093,15,83.632,7.0,1:23.632,83.877,15.0,1:23.876,,,,16.0,1:25.637
2024,Abu Dhabi Grand Prix,NOR,McLaren,2.0,1:24.542,1.0,1:23.516,2.0,1:23.626,1,83.682,10.0,1:23.682,83.098,5.0,1:23.097,82.595,1.0,1:22.594,1.0,1:27.438
2024,Abu Dhabi Grand Prix,PER,Red Bull,10.0,1:25.483,14.0,1:24.555,10.0,1:24.283,10,83.559,6.0,1:23.558,83.379,10.0,1:23.379,83.264,10.0,1:23.263,20.0,
2024,Abu Dhabi Grand Prix,PIA,McLaren,,,2.0,1:23.751,1.0,1:23.433,2,83.64,8.0,1:23.640,83.199,6.0,1:23.198,82.804,2.0,1:22.804,10.0,1:27.689
2024,Abu Dhabi Grand Prix,RUS,Mercedes,4.0,1:25.165,13.0,1:24.534,6.0,1:24.075,7,83.678,9.0,1:23.677,83.283,8.0,1:23.283,83.132,7.0,1:23.132,5.0,1:28.194
2024,Abu Dhabi Grand Prix,SAI,Ferrari,,,4.0,1:24.099,5.0,1:23.870,3,83.487,3.0,1:23.486,82.985,1.0,1:22.984,82.824,3.0,1:22.823,2.0,1:27.765
2024,Abu Dhabi Grand Prix,STR,Aston Martin,,,18.0,1:24.686,18.0,1:24.531,13,83.729,12.0,1:23.728,83.784,13.0,1:23.784,,,,14.0,1:28.603
2024,Abu Dhabi Grand Prix,TSU,RB,,,10.0,1:24.496,11.0,1:24.343,11,83.735,14.0,1:23.734,83.419,11.0,1:23.418,,,,12.0,1:29.200
2024,Abu Dhabi Grand Prix,VER,Red Bull,,,17.0,1:24.597,4.0,1:23.843,5,83.516,4.0,1:23.516,82.998,2.0,1:22.998,82.945,5.0,1:22.944,6.0,1:27.765
2024,Abu Dhabi Grand Prix,ZHO,Sauber,16.0,1:25.921,15.0,1:24.557,19.0,1:24.668,17,83.88,17.0,1:23.879,,,,,,,13.0,1:27.981
2024,Australian Grand Prix,ALB,Williams,12.0,1:19.442,,,13.0,1:17.759,12,77.13,7.0,1:17.129,77.167,12.0,1:17.167,,,,11.0,1:21.617
2024,Australian Grand Prix,ALO,Aston Martin,18.0,1:19.715,5.0,1:17.912,6.0,1:16.996,10,76.991,5.0,1:16.990,76.71,6.0,1:16.709,77.552,10.0,1:17.552,8.0,1:20.492
2024,Australian Grand Prix,BOT,Sauber,20.0,1:20.013,14.0,1:18.584,12.0,1:17.751,13,77.543,13.0,1:17.543,77.34,13.0,1:17.340,,,,14.0,1:21.421
2024,Australian Grand Prix,GAS,Alpine,17.0,1:19.621,15.0,1:18.691,19.0,1:18.390,17,77.982,17.0,1:17.981,,,,,,,13.0,1:21.090
2024,Australian Grand Prix,HAM,Mercedes,9.0,1:18.771,18.0,1:18.834,4.0,1:16.805,11,77.499,12.0,1:17.498,76.96,11.0,1:16.959,,,,18.0,1:22.444
2024,Australian Grand Prix,HUL,Haas,16.0,1:19.603,16.0,1:18.701,16.0,1:17.941,16,77.976,16.0,1:17.975,,,,,,,9.0,1:21.144
2024,Australian Grand Prix,LEC,Ferrari,4.0,1:18.599,1.0,1:17.277,1.0,1:16.713,5,76.984,4.0,1:16.983,76.304,2.0,1:16.304,76.435,5.0,1:16.435,2.0,1:19.813
2024,Australian Grand Prix,MAG,Haas,13.0,1:19.489,19.0,1:19.275,17.0,1:17.960,14,77.709,15.0,1:17.709,77.427,14.0,1:17.427,,,,10.0,1:21.081
2024,Australian Grand Prix,NOR,McLaren,1.0,1:18.563,9.0,1:18.155,10.0,1:17.489,4,77.43,11.0,1:17.430,76.75,7.0,1:16.750,76.315,4.0,1:16.314,3.0,1:19.915
2024,Australian Grand Prix,OCO,Alpine,15.0,1:19.561,17.0,1:18.704,15.0,1:17.920,15,77.617,14.0,1:17.617,77.697,15.0,1:17.697,,,,16.0,1:21.353
2024,Australian Grand Prix,PER,Red Bull,6.0,1:18.641,8.0,1:18.090,7.0,1:17.013,3,76.805,2.0,1:16.805,76.631,5.0,1:16.631,76.274,3.0,1:16.274,5.0,1:20.388
2024,Australian Grand Prix,PIA,McLaren,10.0,1:18.918,7.0,1:18.076,8.0,1:17.087,6,77.369,9.0,1:17.368,76.601,4.0,1:16.600,76.572,6.0,1:16.572,4.0,1:20.198
2024,Australian Grand Prix,RIC,RB,11.0,1:19.274,12.0,1:18.534,18.0,1:17.962,18,78.085,18.0,1:18.084,,,,,,,12.0,1:21.239
2024,Australian Grand Prix,RUS,Mercedes,3.0,1:18.596,6.0,1:17.950,5.0,1:16.885,7,77.062,6.0,1:17.061,76.901,10.0,1:16.900,76.724,7.0,1:16.724,17.0,1:20.284
2024,Australian Grand Prix,SAI,Ferrari,8.0,1:18.686,3.0,1:17.706,3.0,1:16.790,2,76.731,1.0,1:16.730,76.189,1.0,1:16.188,76.185,2.0,1:16.185,1.0,1:20.031
2024,Australian Grand Prix,STR,Aston Martin,7.0,1:18.667,4.0,1:17.822,9.0,1:17.340,9,77.376,10.0,1:17.376,76.78,8.0,1:16.780,77.072,9.0,1:17.072,6.0,1:20.930
2024,Australian Grand Prix,TSU,RB,5.0,1:18.620,10.0,1:18.188,11.0,1:17.673,8,77.356,8.0,1:17.355,76.791,9.0,1:16.790,76.788,8.0,1:16.787,7.0,1:21.134
2024,Australian Grand Prix,VER,Red Bull,2.0,1:18.581,2.0,1:17.658,2.0,1:16.733,1,76.819,3.0,1:16.819,76.387,3.0,1:16.387,75.915,1.0,1:15.915,19.0,1:23.114
2024,Australian Grand Prix,ZHO,Sauber,19.0,1:19.989,11.0,1:18.421,14.0,1:17.876,19,78.188,19.0,1:18.188,,,,,,,15.0,1:21.326
2024,Azerbaijan Grand Prix,ALB,Williams,17.0,1:47.954,13.0,1:44.736,8.0,1:43.194,10,102.899,2.0,1:42.899,102.84,10.0,1:42.840,102.859,10.0,1:42.858,7.0,1:46.947
2024,Azerbaijan Grand Prix,ALO,Aston Martin,7.0,1:46.451,12.0,1:44.683,11.0,1:43.474,8,103.472,14.0,1:43.471,102.426,5.0,1:42.426,102.369,8.0,1:42.368,6.0,1:47.057
2024,Azerbaijan Grand Prix,BEA,Haas F1 Team,,,,,,,11,103.471,13.0,1:43.471,102.968,11.0,1:42.968,,,,10.0,1:47.048
2024,Azerbaijan Grand Prix,BOT,Sauber,14.0,1:47.640,15.0,1:44.784,17.0,1:44.186,17,103.618,17.0,1:43.617,,,,,,,16.0,1:48.418
2024,Azerbaijan Grand Prix,COL,Williams,16.0,1:47.900,14.0,1:44.748,9.0,1:43.237,9,103.138,7.0,1:43.138,102.473,6.0,1:42.472,102.53,9.0,1:42.530,8.0,1:47.274
2024,Azerbaijan Grand Prix,GAS,Alpine,18.0,1:48.712,18.0,1:45.391,15.0,1:43.876,15,,,,103.179,13.0,1:43.179,,,,12.0,1:48.018
2024,Azerbaijan Grand Prix,HAM,Mercedes,2.0,1:45.858,3.0,1:43.549,10.0,1:43.301,7,103.089,4.0,1:43.088,102.765,9.0,1:42.765,102.289,7.0,1:42.289,9.0,1:47.236
2024,Azerbaijan Grand Prix,HUL,Haas,12.0,1:47.135,8.0,1:44.474,16.0,1:44.164,13,103.101,6.0,1:43.100,103.191,14.0,1:43.191,,,,11.0,1:47.691
2024,Azerbaijan Grand Prix,LEC,Ferrari,9.0,1:46.608,1.0,1:43.483,2.0,1:42.527,1,102.775,1.0,1:42.775,102.056,2.0,1:42.055,101.365,1.0,1:41.364,2.0,1:47.066
2024,Azerbaijan Grand Prix,NOR,McLaren,4.0,1:46.027,17.0,1:45.156,3.0,1:42.736,16,103.609,16.0,1:43.608,,,,,,,4.0,1:45.254
2024,Azerbaijan Grand Prix,OCO,Alpine,,,,,,,19,104.504,19.0,1:44.504,,,,,,,15.0,1:48.831
2024,Azerbaijan Grand Prix,PER,Red Bull,3.0,1:45.921,2.0,1:43.489,7.0,1:43.024,4,103.213,9.0,1:43.212,102.263,3.0,1:42.263,101.813,4.0,1:41.813,17.0,1:47.013
2024,Azerbaijan Grand Prix,PIA,McLaren,6.0,1:46.281,5.0,1:43.983,4.0,1:42.748,2,103.033,3.0,1:43.033,102.598,8.0,1:42.597,101.686,2.0,1:41.686,1.0,1:47.060
2024,Azerbaijan Grand Prix,RIC,RB,10.0,1:46.686,16.0,1:45.055,14.0,1:43.870,15,103.547,15.0,1:43.546,,,,,,,13.0,1:48.379
2024,Azerbaijan Grand Prix,RUS,Mercedes,8.0,1:46.516,9.0,1:44.536,1.0,1:42.513,5,103.139,8.0,1:43.138,102.329,4.0,1:42.328,101.874,5.0,1:41.873,3.0,1:46.628
2024,Azerbaijan Grand Prix,SAI,Ferrari,5.0,1:46.173,4.0,1:43.950,6.0,1:42.968,3,103.357,11.0,1:43.356,102.503,7.0,1:42.503,101.805,3.0,1:41.805,18.0,1:46.865
2024,Azerbaijan Grand Prix,STR,Aston Martin,13.0,1:47.183,7.0,1:44.093,13.0,1:43.570,14,103.37,12.0,1:43.370,103.404,15.0,1:43.403,,,,19.0,1:48.147
2024,Azerbaijan Grand Prix,TSU,RB,15.0,1:47.707,11.0,1:44.644,12.0,1:43.503,12,103.337,10.0,1:43.337,103.035,12.0,1:43.034,,,,20.0,1:50.887
2024,Azerbaijan Grand Prix,VER,Red Bull,1.0,1:45.546,6.0,1:44.028,5.0,1:42.861,6,103.097,5.0,1:43.096,102.042,1.0,1:42.042,102.023,6.0,1:42.022,5.0,1:46.798
2024,Azerbaijan Grand Prix,ZHO,Sauber,19.0,1:49.052,20.0,1:45.947,18.0,1:44.868,18,104.246,18.0,1:44.245,,,,,,,14.0,1:47.644
2024,Bahrain Grand Prix,ALB,Williams,13.0,1:33.582,11.0,1:31.332,15.0,1:31.965,13,90.397,9.0,1:30.397,90.221,13.0,1:30.221,,,,15.0,1:35.722
2024,Bahrain Grand Prix,ALO,Aston Martin,5.0,1:33.192,3.0,1:30.659,2.0,1:30.965,6,90.179,5.0,1:30.179,89.801,5.0,1:29.801,89.542,6.0,1:29.542,9.0,1:34.198
2024,Bahrain Grand Prix,BOT,Sauber,10.0,1:33.353,17.0,1:32.001,17.0,1:32.096,16,90.756,16.0,1:30.756,,,,,,,19.0,1:36.201
2024,Bahrain Grand Prix,GAS,Alpine,18.0,1:35.144,16.0,1:31.950,20.0,1:32.382,20,90.948,20.0,1:30.947,,,,,,,18.0,1:34.805
2024,Bahrain Grand Prix,HAM,Mercedes,9.0,1:33.302,1.0,1:30.373,12.0,1:31.451,9,90.451,10.0,1:30.450,89.718,4.0,1:29.718,89.71,9.0,1:29.709,7.0,1:34.721
2024,Bahrain Grand Prix,HUL,Haas,20.0,1:37.938,7.0,1:30.884,9.0,1:31.278,10,90.566,14.0,1:30.566,89.851,6.0,1:29.850,90.502,10.0,1:30.501,16.0,1:34.834
2024,Bahrain Grand Prix,LEC,Ferrari,8.0,1:33.268,9.0,1:31.112,4.0,1:31.093,2,90.243,7.0,1:30.242,89.165,1.0,1:29.165,89.407,2.0,1:29.406,4.0,1:34.090
2024,Bahrain Grand Prix,MAG,Haas,19.0,1:37.477,14.0,1:31.763,14.0,1:31.671,15,90.646,15.0,1:30.646,90.529,15.0,1:30.528,,,,12.0,1:35.569
2024,Bahrain Grand Prix,NOR,McLaren,2.0,1:32.900,20.0,1:32.608,5.0,1:31.117,7,90.143,4.0,1:30.143,89.941,9.0,1:29.941,89.614,7.0,1:29.614,6.0,1:34.475
2024,Bahrain Grand Prix,OCO,Alpine,17.0,1:34.807,18.0,1:32.027,18.0,1:32.123,19,90.793,19.0,1:30.793,,,,,,,17.0,1:36.225
2024,Bahrain Grand Prix,PER,Red Bull,12.0,1:33.412,10.0,1:31.114,8.0,1:31.248,5,90.221,6.0,1:30.221,89.932,8.0,1:29.932,89.537,5.0,1:29.537,2.0,1:34.364
2024,Bahrain Grand Prix,PIA,McLaren,3.0,1:33.112,5.0,1:30.784,7.0,1:31.209,8,90.531,12.0,1:30.531,90.122,10.0,1:30.121,89.683,8.0,1:29.683,8.0,1:34.774
2024,Bahrain Grand Prix,RIC,RB,1.0,1:32.868,12.0,1:31.516,11.0,1:31.448,14,90.562,13.0,1:30.561,90.278,14.0,1:30.278,,,,13.0,1:35.162
2024,Bahrain Grand Prix,RUS,Mercedes,7.0,1:33.251,2.0,1:30.579,6.0,1:31.189,3,90.35,8.0,1:30.349,89.922,7.0,1:29.921,89.485,3.0,1:29.484,5.0,1:35.064
2024,Bahrain Grand Prix,SAI,Ferrari,11.0,1:33.385,4.0,1:30.769,1.0,1:30.823,4,89.909,1.0,1:29.909,89.573,3.0,1:29.572,89.507,4.0,1:29.507,3.0,1:34.507
2024,Bahrain Grand Prix,SAR,Williams,16.0,1:34.212,13.0,1:31.715,19.0,1:32.125,18,90.77,18.0,1:30.769,,,,,,,20.0,1:34.734
2024,Bahrain Grand Prix,STR,Aston Martin,14.0,1:33.867,8.0,1:30.891,10.0,1:31.396,12,89.965,2.0,1:29.965,90.2,12.0,1:30.200,,,,10.0,1:35.632
2024,Bahrain Grand Prix,TSU,RB,4.0,1:33.183,15.0,1:31.881,13.0,1:31.631,11,90.481,11.0,1:30.480,90.129,11.0,1:30.129,,,,14.0,1:35.832
2024,Bahrain Grand Prix,VER,Red Bull,6.0,1:33.237,6.0,1:30.850,3.0,1:31.061,1,90.031,3.0,1:30.031,89.374,2.0,1:29.373,89.179,1.0,1:29.179,1.0,1:32.608
2024,Bahrain Grand Prix,ZHO,Sauber,15.0,1:33.923,19.0,1:32.048,16.0,1:32.000,17,90.757,17.0,1:30.757,,,,,,,11.0,1:35.457
2024,Belgian Grand Prix,ALB,Williams,3.0,1:44.099,17.0,1:43.891,11.0,2:07.442,11,115.722,14.0,1:55.721,114.473,11.0,1:54.472,,,,12.0,1:47.995
2024,Belgian Grand Prix,ALO,Aston Martin,12.0,1:44.921,12.0,1:43.537,13.0,2:08.070,9,115.489,10.0,1:55.489,114.258,7.0,1:54.257,114.765,9.0,1:54.765,8.0,1:48.051
2024,Belgian Grand Prix,BOT,Sauber,14.0,1:45.155,13.0,1:43.674,8.0,2:06.492,14,115.531,11.0,1:55.531,114.764,14.0,1:54.763,,,,15.0,1:47.019
2024,Belgian Grand Prix,GAS,Alpine,11.0,1:44.832,15.0,1:43.828,3.0,2:03.174,12,114.911,2.0,1:54.911,114.635,12.0,1:54.635,,,,13.0,1:47.418
2024,Belgian Grand Prix,HAM,Mercedes,5.0,1:44.278,10.0,1:43.519,9.0,2:06.751,4,115.692,13.0,1:55.691,114.037,2.0,1:54.037,113.835,4.0,1:53.834,1.0,1:46.653
2024,Belgian Grand Prix,HUL,Haas,17.0,1:45.644,16.0,1:43.846,12.0,2:08.039,16,116.308,16.0,1:56.308,,,,,,,18.0,1:48.953
2024,Belgian Grand Prix,LEC,Ferrari,6.0,1:44.305,4.0,1:42.837,6.0,2:06.033,2,115.349,6.0,1:55.349,114.193,6.0,1:54.192,113.754,2.0,1:53.754,3.0,1:47.013
2024,Belgian Grand Prix,MAG,Haas F1 Team,,,,,,,17,116.5,17.0,1:56.500,,,,,,,14.0,1:47.847
2024,Belgian Grand Prix,NOR,McLaren,8.0,1:44.415,1.0,1:42.260,4.0,2:03.371,5,115.582,12.0,1:55.581,114.358,8.0,1:54.358,113.981,5.0,1:53.980,5.0,1:45.563
2024,Belgian Grand Prix,OCO,Alpine,,,7.0,1:43.400,5.0,2:05.250,10,115.417,8.0,1:55.417,114.46,9.0,1:54.459,114.81,10.0,1:54.810,9.0,1:46.956
2024,Belgian Grand Prix,PER,Red Bull,7.0,1:44.328,9.0,1:43.504,10.0,2:07.102,3,115.139,4.0,1:55.138,114.47,10.0,1:54.469,113.765,3.0,1:53.765,7.0,1:44.700
2024,Belgian Grand Prix,PIA,McLaren,2.0,1:43.903,2.0,1:42.474,2.0,2:02.998,6,114.835,1.0,1:54.834,114.136,5.0,1:54.135,114.027,6.0,1:54.027,2.0,1:45.840
2024,Belgian Grand Prix,RIC,RB,13.0,1:44.950,14.0,1:43.822,14.0,2:08.409,13,115.451,9.0,1:55.450,114.682,13.0,1:54.682,,,,10.0,1:47.435
2024,Belgian Grand Prix,RUS,Mercedes,,,,,,,7,115.353,7.0,1:55.352,114.095,3.0,1:54.094,114.184,7.0,1:54.183,20.0,1:47.112
2024,Belgian Grand Prix,SAI,Ferrari,,,,,,,8,115.169,5.0,1:55.168,114.112,4.0,1:54.111,114.477,8.0,1:54.477,6.0,1:46.364
2024,Belgian Grand Prix,SAR,Williams,,,,,,,19,117.23,19.0,1:57.230,,,,,,,17.0,1:47.489
2024,Belgian Grand Prix,STR,Aston Martin,10.0,1:44.698,11.0,1:43.531,7.0,2:06.037,15,116.072,15.0,1:56.072,115.716,15.0,1:55.715,,,,11.0,1:48.105
2024,Belgian Grand Prix,TSU,RB,16.0,1:45.563,20.0,1:44.347,15.0,2:09.443,18,116.593,18.0,1:56.593,,,,,,,16.0,1:47.968
2024,Belgian Grand Prix,VER,Red Bull,1.0,1:43.371,3.0,1:42.477,1.0,2:01.564,1,114.938,3.0,1:54.938,113.837,1.0,1:53.837,113.159,1.0,1:53.159,4.0,1:46.128
2024,Belgian Grand Prix,ZHO,Kick Sauber,,,,,,,20,117.775,20.0,1:57.775,,,,,,,19.0,1:52.099
2024,British Grand Prix,ALB,Williams,16.0,1:28.649,13.0,1:27.644,11.0,1:39.602,9,91.135,7.0,1:31.135,86.933,9.0,1:26.933,86.64,9.0,1:26.640,9.0,1:29.718
2024,British Grand Prix,ALO,Aston Martin,6.0,1:27.793,11.0,1:27.371,8.0,1:38.939,10,91.264,9.0,1:31.263,86.73,3.0,1:26.730,86.917,10.0,1:26.917,8.0,1:29.709
2024,British Grand Prix,BOT,Sauber,12.0,1:28.254,12.0,1:27.381,15.0,1:40.242,16,92.431,16.0,1:32.430,,,,,,,15.0,1:31.277
2024,British Grand Prix,GAS,Alpine,,,,,,,20,99.804,20.0,1:39.804,,,,,,,20.0,
2024,British Grand Prix,HAM,Mercedes,7.0,1:27.858,6.0,1:27.201,3.0,1:37.563,2,89.547,1.0,1:29.546,86.77,5.0,1:26.769,85.99,2.0,1:25.989,1.0,1:29.438
2024,British Grand Prix,HUL,Haas,11.0,1:28.081,4.0,1:26.989,10.0,1:39.340,6,91.929,15.0,1:31.929,86.847,8.0,1:26.846,86.338,6.0,1:26.337,6.0,1:29.835
2024,British Grand Prix,LEC,Ferrari,8.0,1:27.903,5.0,1:27.150,7.0,1:38.453,11,90.496,3.0,1:30.495,87.097,11.0,1:27.096,,,,14.0,1:29.748
2024,British Grand Prix,MAG,Haas,,,20.0,1:28.121,17.0,1:40.539,17,92.905,17.0,1:32.905,,,,,,,12.0,1:30.093
2024,British Grand Prix,NOR,McLaren,1.0,1:27.420,1.0,1:26.549,4.0,1:37.713,3,91.596,13.0,1:31.596,86.559,1.0,1:26.558,86.03,3.0,1:26.030,3.0,1:29.262
2024,British Grand Prix,OCO,Alpine,10.0,1:27.974,15.0,1:27.742,16.0,1:40.430,18,94.557,18.0,1:34.557,,,,,,,16.0,1:30.875
2024,British Grand Prix,PER,Red Bull,,,3.0,1:26.983,9.0,1:39.284,19,98.348,19.0,1:38.347,,,,,,,17.0,1:29.706
2024,British Grand Prix,PIA,McLaren,3.0,1:27.631,2.0,1:26.879,1.0,1:36.653,5,90.895,5.0,1:30.894,86.733,4.0,1:26.733,86.237,5.0,1:26.236,4.0,1:28.748
2024,British Grand Prix,RIC,RB,13.0,1:28.477,19.0,1:27.915,18.0,1:40.822,15,91.291,10.0,1:31.290,87.949,15.0,1:27.948,,,,13.0,1:30.734
2024,British Grand Prix,RUS,Mercedes,5.0,1:27.737,10.0,1:27.293,2.0,1:37.528,1,90.106,2.0,1:30.105,86.723,2.0,1:26.722,85.819,1.0,1:25.819,19.0,1:31.298
2024,British Grand Prix,SAI,Ferrari,9.0,1:27.924,8.0,1:27.248,5.0,1:38.138,7,90.557,4.0,1:30.557,86.843,7.0,1:26.843,86.509,7.0,1:26.509,5.0,1:28.293
2024,British Grand Prix,SAR,Williams,,,17.0,1:27.808,13.0,1:39.701,12,91.608,14.0,1:31.608,87.175,12.0,1:27.174,,,,11.0,1:29.971
2024,British Grand Prix,STR,Aston Martin,2.0,1:27.554,9.0,1:27.274,12.0,1:39.700,8,91.41,12.0,1:31.409,86.938,10.0,1:26.938,86.585,8.0,1:26.584,7.0,1:29.897
2024,British Grand Prix,TSU,RB,20.0,1:29.864,16.0,1:27.745,14.0,1:39.819,13,90.994,6.0,1:30.993,87.269,13.0,1:27.269,,,,10.0,1:30.228
2024,British Grand Prix,VER,Red Bull,4.0,1:27.728,7.0,1:27.233,6.0,1:38.393,4,91.342,11.0,1:31.341,86.796,6.0,1:26.796,86.203,4.0,1:26.203,2.0,1:28.951
2024,British Grand Prix,ZHO,Sauber,15.0,1:28.590,18.0,1:27.813,19.0,1:41.784,14,91.19,8.0,1:31.189,87.867,14.0,1:27.867,,,,18.0,1:31.013
2024,Canadian Grand Prix,ALB,Williams,,,9.0,1:16.977,18.0,1:13.879,10,72.896,4.0,1:12.896,72.485,6.0,1:12.484,72.796,10.0,1:12.796,17.0,1:19.358
2024,Canadian Grand Prix,ALO,Aston Martin,,,1.0,1:15.810,8.0,1:13.340,6,73.117,12.0,1:13.117,72.635,9.0,1:12.635,72.228,6.0,1:12.227,6.0,1:16.302
2024,Canadian Grand Prix,BOT,Sauber,8.0,1:27.670,14.0,1:17.816,13.0,1:13.641,17,73.366,17.0,1:13.365,,,,,,,13.0,1:17.250
2024,Canadian Grand Prix,GAS,Alpine,7.0,1:27.584,19.0,1:20.789,16.0,1:13.736,15,73.289,15.0,1:13.289,72.94,15.0,1:12.939,,,,9.0,1:17.013
2024,Canadian Grand Prix,HAM,Mercedes,4.0,1:25.969,7.0,1:16.908,1.0,1:12.549,7,72.851,3.0,1:12.850,71.979,2.0,1:11.978,72.28,7.0,1:12.280,4.0,1:14.855
2024,Canadian Grand Prix,HUL,Haas,,,15.0,1:17.903,17.0,1:13.777,19,73.978,19.0,1:13.977,,,,,,,11.0,1:16.683
2024,Canadian Grand Prix,LEC,Ferrari,3.0,1:25.305,4.0,1:16.555,10.0,1:13.349,11,73.107,11.0,1:13.106,72.691,11.0,1:12.691,,,,19.0,1:26.012
