year,race_name,team,driver,dnf,dnf_reason
2024,Abu Dhabi Grand Prix,alpine,DOO,True,Lapped
2024,Abu Dhabi Grand Prix,alpine,GAS,False,Finished
2024,Abu Dhabi Grand Prix,aston_martin,ALO,False,Finished
2024,Abu Dhabi Grand Prix,aston_martin,STR,True,Lapped
2024,Abu Dhabi Grand Prix,ferrari,LEC,False,Finished
2024,Abu Dhabi Grand Prix,ferrari,SAI,False,Finished
2024,Abu Dhabi Grand Prix,haas,HUL,False,Finished
2024,Abu Dhabi Grand Prix,haas,MAG,True,Lapped
2024,Abu Dhabi Grand Prix,mclaren,NOR,False,Finished
2024,Abu Dhabi Grand Prix,mclaren,PIA,False,Finished
2024,Abu Dhabi Grand Prix,mercedes,HAM,False,Finished
2024,Abu Dhabi Grand Prix,mercedes,RUS,False,Finished
2024,Abu Dhabi Grand Prix,rb,LAW,True,Retired
2024,Abu Dhabi Grand Prix,rb,TSU,True,Lapped
2024,Abu Dhabi Grand Prix,red_bull,PER,True,Retired
2024,Abu Dhabi Grand Prix,red_bull,VER,False,Finished
2024,Abu Dhabi Grand Prix,sauber,BOT,True,Retired
2024,Abu Dhabi Grand Prix,sauber,ZHO,True,Lapped
2024,Abu Dhabi Grand Prix,williams,ALB,True,Lapped
2024,Abu Dhabi Grand Prix,williams,COL,True,Retired
2024,Australian Grand Prix,alpine,GAS,True,Lapped
2024,Australian Grand Prix,alpine,OCO,True,Lapped
2024,Australian Grand Prix,aston_martin,ALO,False,Finished
2024,Australian Grand Prix,aston_martin,STR,False,Finished
2024,Australian Grand Prix,ferrari,LEC,False,Finished
2024,Australian Grand Prix,ferrari,SAI,False,Finished
2024,Australian Grand Prix,haas,HUL,False,Finished
2024,Australian Grand Prix,haas,MAG,True,Lapped
2024,Australian Grand Prix,mclaren,NOR,False,Finished
2024,Australian Grand Prix,mclaren,PIA,False,Finished
2024,Australian Grand Prix,mercedes,HAM,True,Retired
2024,Australian Grand Prix,mercedes,RUS,True,Retired
2024,Australian Grand Prix,rb,RIC,True,Lapped
2024,Australian Grand Prix,rb,TSU,False,Finished
2024,Australian Grand Prix,red_bull,PER,False,Finished
2024,Australian Grand Prix,red_bull,VER,True,Retired
2024,Australian Grand Prix,sauber,BOT,True,Lapped
2024,Australian Grand Prix,sauber,ZHO,True,Lapped
2024,Australian Grand Prix,williams,ALB,True,Lapped
2024,Austrian Grand Prix,alpine,GAS,False,Finished
2024,Austrian Grand Prix,alpine,OCO,False,Finished
2024,Austrian Grand Prix,aston_martin,ALO,True,Lapped
2024,Austrian Grand Prix,aston_martin,STR,True,Lapped
2024,Austrian Grand Prix,ferrari,LEC,False,Finished
2024,Austrian Grand Prix,ferrari,SAI,False,Finished
2024,Austrian Grand Prix,haas,HUL,False,Finished
2024,Austrian Grand Prix,haas,MAG,False,Finished
2024,Austrian Grand Prix,mclaren,NOR,True,Lapped
2024,Austrian Grand Prix,mclaren,PIA,False,Finished
2024,Austrian Grand Prix,mercedes,HAM,False,Finished
2024,Austrian Grand Prix,mercedes,RUS,False,Finished
2024,Austrian Grand Prix,rb,RIC,False,Finished
2024,Austrian Grand Prix,rb,TSU,True,Lapped
2024,Austrian Grand Prix,red_bull,PER,False,Finished
2024,Austrian Grand Prix,red_bull,VER,False,Finished
2024,Austrian Grand Prix,sauber,BOT,True,Lapped
2024,Austrian Grand Prix,sauber,ZHO,True,Lapped
2024,Austrian Grand Prix,williams,ALB,True,Lapped
2024,Austrian Grand Prix,williams,SAR,True,Lapped
2024,Azerbaijan Grand Prix,alpine,GAS,False,Finished
2024,Azerbaijan Grand Prix,alpine,OCO,True,Lapped
2024,Azerbaijan Grand Prix,aston_martin,ALO,False,Finished
2024,Azerbaijan Grand Prix,aston_martin,STR,True,Retired
2024,Azerbaijan Grand Prix,ferrari,LEC,False,Finished
2024,Azerbaijan Grand Prix,ferrari,SAI,True,Retired
2024,Azerbaijan Grand Prix,haas,BEA,False,Finished
2024,Azerbaijan Grand Prix,haas,HUL,False,Finished
2024,Azerbaijan Grand Prix,mclaren,NOR,False,Finished
2024,Azerbaijan Grand Prix,mclaren,PIA,False,Finished
2024,Azerbaijan Grand Prix,mercedes,HAM,False,Finished
2024,Azerbaijan Grand Prix,mercedes,RUS,False,Finished
2024,Azerbaijan Grand Prix,rb,RIC,False,Finished
2024,Azerbaijan Grand Prix,rb,TSU,True,Retired
2024,Azerbaijan Grand Prix,red_bull,PER,True,Retired
2024,Azerbaijan Grand Prix,red_bull,VER,False,Finished
2024,Azerbaijan Grand Prix,sauber,BOT,True,Lapped
2024,Azerbaijan Grand Prix,sauber,ZHO,False,Finished
2024,Azerbaijan Grand Prix,williams,ALB,False,Finished
2024,Azerbaijan Grand Prix,williams,COL,False,Finished
2024,Bahrain Grand Prix,alpine,GAS,True,Lapped
2024,Bahrain Grand Prix,alpine,OCO,True,Lapped
2024,Bahrain Grand Prix,aston_martin,ALO,False,Finished
2024,Bahrain Grand Prix,aston_martin,STR,False,Finished
2024,Bahrain Grand Prix,ferrari,LEC,False,Finished
2024,Bahrain Grand Prix,ferrari,SAI,False,Finished
2024,Bahrain Grand Prix,haas,HUL,True,Lapped
2024,Bahrain Grand Prix,haas,MAG,True,Lapped
2024,Bahrain Grand Prix,mclaren,NOR,False,Finished
2024,Bahrain Grand Prix,mclaren,PIA,False,Finished
2024,Bahrain Grand Prix,mercedes,HAM,False,Finished
2024,Bahrain Grand Prix,mercedes,RUS,False,Finished
2024,Bahrain Grand Prix,rb,RIC,True,Lapped
2024,Bahrain Grand Prix,rb,TSU,True,Lapped
2024,Bahrain Grand Prix,red_bull,PER,False,Finished
2024,Bahrain Grand Prix,red_bull,VER,False,Finished
2024,Bahrain Grand Prix,sauber,BOT,True,Lapped
2024,Bahrain Grand Prix,sauber,ZHO,True,Lapped
2024,Bahrain Grand Prix,williams,ALB,True,Lapped
2024,Bahrain Grand Prix,williams,SAR,True,Lapped
2024,Belgian Grand Prix,alpine,GAS,False,Finished
2024,Belgian Grand Prix,alpine,OCO,False,Finished
2024,Belgian Grand Prix,aston_martin,ALO,False,Finished
2024,Belgian Grand Prix,aston_martin,STR,False,Finished
2024,Belgian Grand Prix,ferrari,LEC,False,Finished
2024,Belgian Grand Prix,ferrari,SAI,False,Finished
2024,Belgian Grand Prix,haas,HUL,False,Finished
2024,Belgian Grand Prix,haas,MAG,False,Finished
2024,Belgian Grand Prix,mclaren,NOR,False,Finished
2024,Belgian Grand Prix,mclaren,PIA,False,Finished
2024,Belgian Grand Prix,mercedes,HAM,False,Finished
2024,Belgian Grand Prix,mercedes,RUS,True,Disqualified
2024,Belgian Grand Prix,rb,RIC,False,Finished
2024,Belgian Grand Prix,rb,TSU,False,Finished
2024,Belgian Grand Prix,red_bull,PER,False,Finished
2024,Belgian Grand Prix,red_bull,VER,False,Finished
2024,Belgian Grand Prix,sauber,BOT,False,Finished
2024,Belgian Grand Prix,sauber,ZHO,True,Retired
2024,Belgian Grand Prix,williams,ALB,False,Finished
2024,Belgian Grand Prix,williams,SAR,False,Finished
2024,British Grand Prix,alpine,GAS,True,Did not start
2024,British Grand Prix,alpine,OCO,True,Lapped
2024,British Grand Prix,aston_martin,ALO,False,Finished
2024,British Grand Prix,aston_martin,STR,False,Finished
2024,British Grand Prix,ferrari,LEC,True,Lapped
2024,British Grand Prix,ferrari,SAI,False,Finished
2024,British Grand Prix,haas,HUL,False,Finished
2024,British Grand Prix,haas,MAG,False,Finished
2024,British Grand Prix,mclaren,NOR,False,Finished
2024,British Grand Prix,mclaren,PIA,False,Finished
2024,British Grand Prix,mercedes,HAM,False,Finished
2024,British Grand Prix,mercedes,RUS,True,Retired
2024,British Grand Prix,rb,RIC,True,Lapped
2024,British Grand Prix,rb,TSU,False,Finished
2024,British Grand Prix,red_bull,PER,True,Lapped
2024,British Grand Prix,red_bull,VER,False,Finished
2024,British Grand Prix,sauber,BOT,True,Lapped
2024,British Grand Prix,sauber,ZHO,True,Lapped
2024,British Grand Prix,williams,ALB,False,Finished
2024,British Grand Prix,williams,SAR,False,Finished
2024,Canadian Grand Prix,alpine,GAS,False,Finished
2024,Canadian Grand Prix,alpine,OCO,False,Finished
2024,Canadian Grand Prix,aston_martin,ALO,False,Finished
2024,Canadian Grand Prix,aston_martin,STR,False,Finished
2024,Canadian Grand Prix,ferrari,LEC,True,Retired
2024,Canadian Grand Prix,ferrari,SAI,True,Retired
2024,Canadian Grand Prix,haas,HUL,False,Finished
2024,Canadian Grand Prix,haas,MAG,False,Finished
2024,Canadian Grand Prix,mclaren,NOR,False,Finished
2024,Canadian Grand Prix,mclaren,PIA,False,Finished
2024,Canadian Grand Prix,mercedes,HAM,False,Finished
2024,Canadian Grand Prix,mercedes,RUS,False,Finished
2024,Canadian Grand Prix,rb,RIC,False,Finished
2024,Canadian Grand Prix,rb,TSU,False,Finished
2024,Canadian Grand Prix,red_bull,PER,True,Retired
2024,Canadian Grand Prix,red_bull,VER,False,Finished
2024,Canadian Grand Prix,sauber,BOT,False,Finished
2024,Canadian Grand Prix,sauber,ZHO,True,Lapped
2024,Canadian Grand Prix,williams,ALB,True,Retired
2024,Canadian Grand Prix,williams,SAR,True,Retired
2024,Chinese Grand Prix,alpine,GAS,False,Finished
