year,race_name,team,average_pit_stop_time,num_pit_stops
2023,Bahrain Grand Prix,alfa,25.60966666666667,3
2023,Bahrain Grand Prix,alphatauri,24.97275,4
2023,Bahrain Grand Prix,alpine,29.298000000000002,4
2023,Bahrain Grand Prix,aston_martin,25.6245,2
2023,Bahrain Grand Prix,ferrari,24.4225,2
2023,Bahrain Grand Prix,haas,28.656750000000002,4
2023,Bahrain Grand Prix,mclaren,33.298,3
2023,Bahrain Grand Prix,mercedes,25.477999999999998,3
2023,Bahrain Grand Prix,red_bull,24.2765,2
2023,Bahrain Grand Prix,williams,25.191333333333333,3
2023,Saudi Arabian Grand Prix,alfa,21.6978,5
2023,Saudi Arabian Grand Prix,alphatauri,21.265,2
2023,Saudi Arabian Grand Prix,alpine,20.7405,2
2023,Saudi Arabian Grand Prix,aston_martin,24.014499999999998,2
2023,Saudi Arabian Grand Prix,ferrari,20.393,2
2023,Saudi Arabian Grand Prix,haas,21.2185,2
2023,Saudi Arabian Grand Prix,mclaren,27.44333333333333,3
2023,Saudi Arabian Grand Prix,mercedes,20.965,2
2023,Saudi Arabian Grand Prix,red_bull,20.7695,2
2023,Saudi Arabian Grand Prix,williams,21.2305,2
2023,Australian Grand Prix,alfa,479.01325,4
2023,Australian Grand Prix,alphatauri,629.258,3
2023,Australian Grand Prix,alpine,627.6603333333334,3
2023,Australian Grand Prix,aston_martin,927.081,2
2023,Australian Grand Prix,ferrari,477.6715,2
2023,Australian Grand Prix,haas,629.1143333333333,3
2023,Australian Grand Prix,mclaren,934.652,2
2023,Australian Grand Prix,mercedes,625.0503333333332,3
2023,Australian Grand Prix,red_bull,474.52374999999995,4
2023,Australian Grand Prix,williams,248.64375,4
2023,Azerbaijan Grand Prix,alfa,21.645,4
2023,Azerbaijan Grand Prix,alphatauri,20.497,1
2023,Azerbaijan Grand Prix,alpine,20.590333333333334,3
2023,Azerbaijan Grand Prix,aston_martin,23.1545,2
2023,Azerbaijan Grand Prix,ferrari,21.548000000000002,2
2023,Azerbaijan Grand Prix,haas,27.8495,2
2023,Azerbaijan Grand Prix,mclaren,20.624000000000002,2
2023,Azerbaijan Grand Prix,mercedes,20.724,3
2023,Azerbaijan Grand Prix,red_bull,20.548000000000002,2
2023,Azerbaijan Grand Prix,williams,21.059,2
2023,Miami Grand Prix,alfa,22.977,2
2023,Miami Grand Prix,alphatauri,22.938499999999998,2
2023,Miami Grand Prix,alpine,22.1795,2
2023,Miami Grand Prix,aston_martin,22.641,2
2023,Miami Grand Prix,ferrari,22.173000000000002,2
2023,Miami Grand Prix,haas,22.868000000000002,2
2023,Miami Grand Prix,mclaren,23.1475,2
2023,Miami Grand Prix,mercedes,22.2425,2
2023,Miami Grand Prix,red_bull,22.286,2
2023,Miami Grand Prix,williams,35.71,2
2023,Monaco Grand Prix,alfa,27.26533333333333,3
2023,Monaco Grand Prix,alphatauri,29.122500000000002,2
2023,Monaco Grand Prix,alpine,26.09775,4
2023,Monaco Grand Prix,aston_martin,24.995333333333335,3
2023,Monaco Grand Prix,ferrari,24.222,2
2023,Monaco Grand Prix,haas,32.494,1
2023,Monaco Grand Prix,mclaren,27.980666666666664,3
2023,Monaco Grand Prix,mercedes,27.419666666666668,3
2023,Monaco Grand Prix,red_bull,26.66275,4
2023,Monaco Grand Prix,williams,25.8752,5
2023,Spanish Grand Prix,alfa,23.336666666666662,3
2023,Spanish Grand Prix,alphatauri,22.170749999999998,4
2023,Spanish Grand Prix,alpine,23.203333333333333,3
2023,Spanish Grand Prix,aston_martin,22.76133333333333,3
2023,Spanish Grand Prix,ferrari,22.049500000000002,2
2023,Spanish Grand Prix,haas,23.11975,4
2023,Spanish Grand Prix,mclaren,27.652,3
2023,Spanish Grand Prix,mercedes,22.424999999999997,2
2023,Spanish Grand Prix,red_bull,22.008,2
