season,driver,race_name,round,circuit_type,team,fp1_pos,fp2_pos,fp3_pos,sprint_qualifying_pos,sprint_race_pos,qualifying_pos,race_pos,race_dnf_status,race_classified_position,weighted_performance_score
2024,ALB,Sakhir,1,Permanent,Williams,13.0,11.0,15.0,,,,,Lapped,15,9.5
2024,ALO,Sakhir,1,Permanent,Aston Martin,5.0,3.0,2.0,,,,,,,1.9000000000000001
2024,BOT,Sakhir,1,Permanent,Sauber,10.0,17.0,17.0,,,,,Lapped,19,11.200000000000001
2024,GAS,Sakhir,1,Permanent,Alpine,18.0,16.0,20.0,,,,,Lapped,18,13.0
2024,HAM,Sakhir,1,Permanent,Mercedes,9.0,1.0,12.0,,,,,,,5.9
2024,HUL,Sakhir,1,Permanent,Haas,20.0,7.0,9.0,,,,,Lapped,16,7.0
2024,LEC,Sakhir,1,Permanent,Ferrari,8.0,9.0,4.0,,,,,,,4.2
2024,MAG,Sakhir,1,Permanent,Haas,19.0,14.0,14.0,,,,,Lapped,12,10.3
2024,NOR,Sakhir,1,Permanent,McLaren,2.0,20.0,5.0,,,,,,,6.2
2024,OCO,Sakhir,1,Permanent,Alpine,17.0,18.0,18.0,,,,,Lapped,17,12.5
2024,PER,Sakhir,1,Permanent,Red Bull,12.0,10.0,8.0,,,,,,,6.4
2024,PIA,Sakhir,1,Permanent,McLaren,3.0,5.0,7.0,,,,,,,4.1000000000000005
2024,RIC,Sakhir,1,Permanent,RB,1.0,12.0,11.0,,,,,Lapped,13,6.9
2024,RUS,Sakhir,1,Permanent,Mercedes,7.0,2.0,6.0,,,,,,,3.5000000000000004
2024,SAI,Sakhir,1,Permanent,Ferrari,11.0,4.0,1.0,,,,,,,2.3000000000000003
2024,SAR,Sakhir,1,Permanent,Williams,16.0,13.0,19.0,,,,,Lapped,20,11.8
2024,STR,Sakhir,1,Permanent,Aston Martin,14.0,8.0,10.0,,,,,,,7.0
2024,TSU,Sakhir,1,Permanent,RB,4.0,15.0,13.0,,,,,Lapped,14,8.6
