track_name,score,avg_overtakes,sc_pct,vsc_pct,red_pct
Las Vegas Grand Prix,100.0,236.0,50.0,50.0,0.0
Spanish Grand Prix,96.1,229.0,0.0,0.0,0.0
Qatar Grand Prix,85.1,209.5,100.0,50.0,0.0
Belgian Grand Prix,83.5,206.7,33.3,0.0,0.0
Abu Dhabi Grand Prix,83.5,206.7,0.0,33.3,0.0
Bahrain Grand Prix,78.2,197.3,33.3,66.7,0.0
United States Grand Prix,76.5,194.3,66.7,0.0,0.0
Dutch Grand Prix,75.8,193.0,66.7,66.7,33.3
Chinese Grand Prix,75.8,193.0,100.0,100.0,0.0
Hungarian Grand Prix,73.7,189.3,0.0,33.3,0.0
Austrian Grand Prix,66.1,175.7,33.3,100.0,0.0
Italian Grand Prix,59.3,163.7,33.3,33.3,0.0
São Paulo Grand Prix,49.9,147.0,100.0,66.7,66.7
Miami Grand Prix,42.0,133.0,66.7,66.7,0.0
Japanese Grand Prix,41.6,132.3,66.7,33.3,66.7
Mexico City Grand Prix,38.5,126.7,66.7,66.7,33.3
British Grand Prix,20.8,95.3,66.7,33.3,33.3
Singapore Grand Prix,19.9,93.7,66.7,66.7,0.0
Canadian Grand Prix,17.8,90.0,100.0,66.7,0.0
Emilia Romagna Grand Prix,16.2,87.0,50.0,0.0,0.0
Azerbaijan Grand Prix,15.6,86.0,33.3,66.7,0.0
Australian Grand Prix,15.0,85.0,66.7,100.0,33.3
French Grand Prix,13.3,82.0,100.0,100.0,0.0
Saudi Arabian Grand Prix,11.3,78.3,100.0,33.3,0.0
Monaco Grand Prix,0.0,58.3,66.7,33.3,66.7
