season,race_name,team,driver,lap_number,stint_index,compound,lap_time,interval_to_car_ahead,in_traffic
2024,Sakhir,Red Bull,VER,2,1,SOFT,96.296,0.0,True
2024,Sakhir,Red Bull,VER,3,1,SOFT,96.753,0.0,True
2024,Sakhir,Red Bull,VER,4,1,SOFT,96.647,0.0,True
2024,Sakhir,Red Bull,VER,5,1,SOFT,97.173,0.0,True
2024,Sakhir,Red Bull,VER,6,1,SOFT,97.092,0.0,True
2024,Sakhir,Red Bull,VER,7,1,SOFT,97.038,0.0,True
2024,Sakhir,Red Bull,VER,8,1,SOFT,97.024,0.0,True
2024,Sakhir,Red Bull,VER,9,1,SOFT,97.229,0.0,True
2024,Sakhir,Red Bull,VER,10,1,SOFT,96.96,0.0,True
2024,Sakhir,Red Bull,VER,11,1,SOFT,97.085,0.0,True
2024,Sakhir,Red Bull,VER,12,1,SOFT,97.045,0.0,True
2024,Sakhir,Red Bull,VER,13,1,SOFT,97.03,0.0,True
2024,Sakhir,Red Bull,VER,14,1,SOFT,97.028,0.0,True
2024,Sakhir,Red Bull,VER,15,1,SOFT,97.011,0.0,True
2024,Sakhir,Red Bull,VER,16,1,SOFT,97.168,0.0,True
2024,Sakhir,Red Bull,VER,17,1,SOFT,99.896,0.0,True
2024,Sakhir,Red Bull,VER,18,2,HARD,117.854,0.0,True
2024,Sakhir,Red Bull,VER,19,2,HARD,95.283,0.0,True
2024,Sakhir,Red Bull,VER,20,2,HARD,95.16,0.0,True
2024,Sakhir,Red Bull,VER,21,2,HARD,95.316,0.0,True
2024,Sakhir,Red Bull,VER,22,2,HARD,95.204,0.0,True
2024,Sakhir,Red Bull,VER,23,2,HARD,95.216,0.0,True
2024,Sakhir,Red Bull,VER,24,2,HARD,95.289,0.0,True
2024,Sakhir,Red Bull,VER,25,2,HARD,95.342,0.0,True
2024,Sakhir,Red Bull,VER,26,2,HARD,95.223,0.0,True
2024,Sakhir,Red Bull,VER,27,2,HARD,95.581,0.0,True
2024,Sakhir,Red Bull,VER,28,2,HARD,95.477,0.0,True
2024,Sakhir,Red Bull,VER,29,2,HARD,95.793,0.0,True
2024,Sakhir,Red Bull,VER,30,2,HARD,95.771,0.0,True
2024,Sakhir,Red Bull,VER,31,2,HARD,95.679,0.0,True
2024,Sakhir,Red Bull,VER,32,2,HARD,95.886,0.0,True
2024,Sakhir,Red Bull,VER,33,2,HARD,95.863,0.0,True
2024,Sakhir,Red Bull,VER,34,2,HARD,96.133,0.0,True
2024,Sakhir,Red Bull,VER,35,2,HARD,96.018,0.0,True
2024,Sakhir,Red Bull,VER,36,2,HARD,96.205,0.0,True
2024,Sakhir,Red Bull,VER,37,2,HARD,99.234,0.0,True
2024,Sakhir,Red Bull,VER,38,3,SOFT,116.445,0.0,True
2024,Sakhir,Red Bull,VER,39,3,SOFT,92.608,0.0,True
2024,Sakhir,Red Bull,VER,40,3,SOFT,96.589,0.0,True
2024,Sakhir,Red Bull,VER,41,3,SOFT,95.29,0.0,True
2024,Sakhir,Red Bull,VER,42,3,SOFT,94.667,0.0,True
2024,Sakhir,Red Bull,VER,43,3,SOFT,94.151,0.0,True
2024,Sakhir,Red Bull,VER,44,3,SOFT,94.531,0.0,True
2024,Sakhir,Red Bull,VER,45,3,SOFT,94.249,0.0,True
2024,Sakhir,Red Bull,VER,46,3,SOFT,94.193,0.0,True
2024,Sakhir,Red Bull,VER,47,3,SOFT,94.239,0.0,True
2024,Sakhir,Red Bull,VER,48,3,SOFT,94.35,0.0,True
2024,Sakhir,Red Bull,VER,49,3,SOFT,94.403,0.0,True
2024,Sakhir,Red Bull,VER,50,3,SOFT,94.783,0.0,True
2024,Sakhir,Red Bull,VER,51,3,SOFT,94.34,0.0,True
2024,Sakhir,Red Bull,VER,52,3,SOFT,94.906,0.0,True
2024,Sakhir,Red Bull,VER,53,3,SOFT,95.6,0.0,True
2024,Sakhir,Red Bull,VER,54,3,SOFT,95.334,0.0,True
2024,Sakhir,Red Bull,VER,55,3,SOFT,95.184,0.0,True
2024,Sakhir,Red Bull,VER,56,3,SOFT,94.671,0.0,True
2024,Sakhir,Red Bull,VER,57,3,SOFT,94.923,0.0,True
2024,Sakhir,Ferrari,LEC,2,1,SOFT,96.862,1.287,True
2024,Sakhir,Ferrari,LEC,3,1,SOFT,98.062,0.59,True
2024,Sakhir,Ferrari,LEC,4,1,SOFT,97.752,0.667,True
2024,Sakhir,Ferrari,LEC,5,1,SOFT,98.131,0.626,True
2024,Sakhir,Ferrari,LEC,6,1,SOFT,97.782,0.538,True
2024,Sakhir,Ferrari,LEC,7,1,SOFT,98.957,0.616,True
2024,Sakhir,Ferrari,LEC,8,1,SOFT,98.136,0.543,True
2024,Sakhir,Ferrari,LEC,9,1,SOFT,97.844,0.995,True
2024,Sakhir,Ferrari,LEC,10,1,SOFT,97.884,0.988,True
2024,Sakhir,Ferrari,LEC,11,1,SOFT,101.737,0.751,True
2024,Sakhir,Ferrari,LEC,12,2,HARD,117.471,1.225,True
2024,Sakhir,Ferrari,LEC,13,2,HARD,96.432,1.138,True
2024,Sakhir,Ferrari,LEC,14,2,HARD,96.756,1.167,True
2024,Sakhir,Ferrari,LEC,15,2,HARD,96.813,0.89,True
2024,Sakhir,Ferrari,LEC,16,2,HARD,96.673,0.543,True
2024,Sakhir,Ferrari,LEC,17,2,HARD,97.302,0.732,True
2024,Sakhir,Ferrari,LEC,18,2,HARD,97.438,1.328,True
2024,Sakhir,Ferrari,LEC,19,2,HARD,96.821,1.358,True
2024,Sakhir,Ferrari,LEC,20,2,HARD,96.794,1.068,True
2024,Sakhir,Ferrari,LEC,21,2,HARD,96.977,1.284,True
2024,Sakhir,Ferrari,LEC,22,2,HARD,96.796,1.405,True
2024,Sakhir,Ferrari,LEC,23,2,HARD,96.987,1.284,True
2024,Sakhir,Ferrari,LEC,24,2,HARD,96.924,1.427,True
2024,Sakhir,Ferrari,LEC,25,2,HARD,96.76,1.456,True
2024,Sakhir,Ferrari,LEC,26,2,HARD,96.81,1.243,True
2024,Sakhir,Ferrari,LEC,27,2,HARD,96.831,1.348,True
2024,Sakhir,Ferrari,LEC,28,2,HARD,96.907,1.28,True
2024,Sakhir,Ferrari,LEC,29,2,HARD,96.963,1.193,True
2024,Sakhir,Ferrari,LEC,30,2,HARD,97.158,1.237,True
2024,Sakhir,Ferrari,LEC,31,2,HARD,97.031,1.055,True
2024,Sakhir,Ferrari,LEC,32,2,HARD,96.941,11.312,False
2024,Sakhir,Ferrari,LEC,33,2,HARD,96.741,11.345,False
2024,Sakhir,Ferrari,LEC,34,2,HARD,99.614,11.728,False
2024,Sakhir,Ferrari,LEC,35,3,HARD,116.166,2.045,True
2024,Sakhir,Ferrari,LEC,36,3,HARD,94.09,3.188,False
2024,Sakhir,Ferrari,LEC,37,3,HARD,94.897,2.469,True
2024,Sakhir,Ferrari,LEC,38,3,HARD,94.783,1.954,True
2024,Sakhir,Ferrari,LEC,39,3,HARD,95.087,1.571,True
2024,Sakhir,Ferrari,LEC,40,3,HARD,94.859,1.371,True
2024,Sakhir,Ferrari,LEC,41,3,HARD,95.028,1.19,True
2024,Sakhir,Ferrari,LEC,42,3,HARD,94.982,0.949,True
2024,Sakhir,Ferrari,LEC,43,3,HARD,95.192,0.669,True
2024,Sakhir,Ferrari,LEC,44,3,HARD,95.051,0.775,True
