# x_m,y_m,w_tr_right_m,w_tr_left_m
-1318.000000,292.000000,7.500000,7.500000
-1341.399883,355.581501,7.500000,7.500000
-1364.799767,419.163002,7.500000,7.500000
-1388.199650,482.744503,7.500000,7.500000
-1411.599533,546.326004,7.500000,7.500000
-1435.055731,609.886743,7.500000,7.500000
-1458.528825,673.441253,7.500000,7.500000
-1482.001919,736.995762,7.500000,7.500000
-1505.475013,800.550272,7.500000,7.500000
-1528.882315,864.128928,7.500000,7.500000
-1552.095772,927.778730,7.500000,7.500000
-1575.428499,991.384895,7.500000,7.500000
-1598.771883,1054.987161,7.500000,7.500000
-1622.115268,1118.589427,7.500000,7.500000
-1645.495944,1182.177993,7.500000,7.500000
-1668.878088,1245.766020,7.500000,7.500000
-1692.260232,1309.354046,7.500000,7.500000
-1715.525988,1372.984605,7.500000,7.500000
-1738.652418,1436.666079,7.500000,7.500000
-1761.778848,1500.347552,7.500000,7.500000
-1784.993594,1563.996806,7.500000,7.500000
-1808.307312,1627.609952,7.500000,7.500000
-1831.621031,1691.223098,7.500000,7.500000
-1854.941851,1754.833641,7.500000,7.500000
-1878.270711,1818.441235,7.500000,7.500000
-1901.599571,1882.048830,7.500000,7.500000
-1924.928431,1945.656425,7.500000,7.500000
-1948.257291,2009.264020,7.500000,7.500000
-1971.586151,2072.871615,7.500000,7.500000
-1994.909751,2136.481138,7.500000,7.500000
-2018.233256,2200.090697,7.500000,7.500000
-2041.556760,2263.700255,7.500000,7.500000
-2065.061640,2327.242878,7.500000,7.500000
-2088.543953,2390.790412,7.500000,7.500000
-2108.238735,2455.615387,7.500000,7.500000
-2127.933516,2520.440362,7.500000,7.500000
-2147.628297,2585.265337,7.500000,7.500000
-2167.323079,2650.090312,7.500000,7.500000
-2187.017860,2714.915288,7.500000,7.500000
-2206.712641,2779.740263,7.500000,7.500000
-2226.407422,2844.565238,7.500000,7.500000
-2246.102204,2909.390213,7.500000,7.500000
-2265.796985,2974.215188,7.500000,7.500000
-2285.491766,3039.040164,7.500000,7.500000
-2305.186548,3103.865139,7.500000,7.500000
-2323.420421,3169.108686,7.500000,7.500000
-2341.042471,3234.527531,7.500000,7.500000
-2358.664522,3299.946375,7.500000,7.500000
-2376.286572,3365.365219,7.500000,7.500000
-2394.137851,3430.721548,7.500000,7.500000
-2412.167574,3496.029211,7.500000,7.500000
-2430.186075,3561.339957,7.500000,7.500000
-2448.046817,3626.694036,7.500000,7.500000
-2465.907560,3692.048116,7.500000,7.500000
-2483.768302,3757.402195,7.500000,7.500000
-2501.629044,3822.756275,7.500000,7.500000
-2519.503253,3888.106663,7.500000,7.500000
-2537.460603,3953.434264,7.500000,7.500000
-2555.417953,4018.761865,7.500000,7.500000
-2573.375303,4084.089465,7.500000,7.500000
-2592.102261,4149.200135,7.500000,7.500000
-2610.905776,4214.289225,7.500000,7.500000
-2629.939589,4279.308698,7.500000,7.500000
-2650.341460,4343.914623,7.500000,7.500000
-2671.159157,4408.371563,7.500000,7.500000
-2696.427370,4471.233946,7.500000,7.500000
-2722.352891,4533.823413,7.500000,7.500000
-2756.517351,4592.262949,7.500000,7.500000
-2791.504987,4650.280422,7.500000,7.500000
-2833.665584,4702.890503,7.500000,7.500000
-2887.655067,4743.302716,7.500000,7.500000
-2947.689695,4773.412575,7.500000,7.500000
-3014.007776,4780.871346,7.500000,7.500000
-3081.732863,4779.007352,7.500000,7.500000
-3148.153213,4765.666794,7.500000,7.500000
-3214.627921,4752.701815,7.500000,7.500000
-3282.150962,4747.151976,7.500000,7.500000
-3347.839305,4759.924327,7.500000,7.500000
-3411.738819,4782.441298,7.500000,7.500000
-3460.251877,4828.181629,7.500000,7.500000
-3493.128404,4887.127186,7.500000,7.500000
-3511.460644,4952.182248,7.500000,7.500000
-3514.402805,5019.769565,7.500000,7.500000
-3512.796171,5087.496910,7.500000,7.500000
-3507.283835,5155.023023,7.500000,7.500000
-3500.548206,5222.430178,7.500000,7.500000
-3491.344152,5289.542985,7.500000,7.500000
-3480.523839,5356.415423,7.500000,7.500000
-3468.306494,5423.055488,7.500000,7.500000
-3455.299054,5489.542110,7.500000,7.500000
-3441.684941,5555.910911,7.500000,7.500000
-3427.201347,5622.093939,7.500000,7.500000
-3412.620660,5688.256975,7.500000,7.500000
-3398.187072,5754.452393,7.500000,7.500000
-3384.370044,5820.775331,7.500000,7.500000
-3371.463236,5887.283734,7.500000,7.500000
-3360.533652,5954.147072,7.500000,7.500000
-3351.155571,6021.226851,7.500000,7.500000
-3343.368592,6088.528596,7.500000,7.500000
-3338.157631,6156.056993,7.500000,7.500000
-3334.072750,6223.684470,7.500000,7.500000
-3332.256705,6291.371672,7.500000,7.500000
-3332.777849,6359.120401,7.500000,7.500000
-3336.325114,6426.727797,7.500000,7.500000
-3342.120773,6494.230183,7.500000,7.500000
-3347.916433,6561.732569,7.500000,7.500000
-3354.414995,6629.168841,7.500000,7.500000
-3361.775853,6696.515255,7.500000,7.500000
-3370.065917,6763.756884,7.500000,7.500000
-3378.355981,6830.998513,7.500000,7.500000
-3386.681354,6898.235667,7.500000,7.500000
-3395.424506,6965.419885,7.500000,7.500000
-3404.167657,7032.604103,7.500000,7.500000
-3412.928609,7099.786002,7.500000,7.500000
-3421.691433,7166.967656,7.500000,7.500000
-3430.454258,7234.149311,7.500000,7.500000
-3439.116500,7301.343926,7.500000,7.500000
-3447.670320,7368.552512,7.500000,7.500000
-3456.417796,7435.736115,7.500000,7.500000
-3465.200917,7502.915119,7.500000,7.500000
-3473.984037,7570.094123,7.500000,7.500000
-3482.767158,7637.273127,7.500000,7.500000
-3491.593716,7704.446430,7.500000,7.500000
-3500.445574,7771.616412,7.500000,7.500000
-3509.280785,7838.788584,7.500000,7.500000
-3518.109245,7905.961645,7.500000,7.500000
-3526.911251,7973.138133,7.500000,7.500000
-3535.490654,8040.343457,7.500000,7.500000
-3544.070057,8107.548782,7.500000,7.500000
-3552.649460,8174.754107,7.500000,7.500000
-3561.228864,8241.959431,7.500000,7.500000
-3569.606513,8309.190174,7.500000,7.500000
-3577.964238,8376.423426,7.500000,7.500000
-3586.321963,8443.656679,7.500000,7.500000
-3594.679688,8510.889932,7.500000,7.500000
-3603.037412,8578.123184,7.500000,7.500000
-3610.250078,8645.480021,7.500000,7.500000
-3616.430377,8712.948278,7.500000,7.500000
-3621.888490,8780.476029,7.500000,7.500000
-3626.802039,8848.048340,7.500000,7.500000
-3631.663627,8915.624421,7.500000,7.500000
-3638.905317,8982.893446,7.500000,7.500000
-3651.353419,9049.490793,7.500000,7.500000
-3693.373463,9097.674675,7.500000,7.500000
-3747.645533,9138.229629,7.500000,7.500000
-3801.917603,9178.784582,7.500000,7.500000
-3856.189673,9219.339536,7.500000,7.500000
-3910.461743,9259.894489,7.500000,7.500000
-3964.733813,9300.449442,7.500000,7.500000
-4019.006615,9341.003188,7.500000,7.500000
-4080.039490,9370.416622,7.500000,7.500000
-4137.407658,9406.050316,7.500000,7.500000
-4192.716090,9445.180091,7.500000,7.500000
-4248.024521,9484.309865,7.500000,7.500000
-4295.361354,9532.569741,7.500000,7.500000
-4338.238834,9585.026233,7.500000,7.500000
-4379.922999,9638.316522,7.500000,7.500000
-4414.434927,9696.618226,7.500000,7.500000
-4448.946855,9754.919929,7.500000,7.500000
-4481.752025,9814.037885,7.500000,7.500000
-4505.473360,9877.500158,7.500000,7.500000
-4529.194695,9940.962431,7.500000,7.500000
-4552.916030,10004.424704,7.500000,7.500000
-4568.803349,10070.206524,7.500000,7.500000
-4579.567290,10137.096728,7.500000,7.500000
-4590.331230,10203.986932,7.500000,7.500000
-4596.730822,10271.325354,7.500000,7.500000
-4599.787418,10339.007103,7.500000,7.500000
-4601.360787,10406.696976,7.500000,7.500000
-4599.045875,10474.408150,7.500000,7.500000
-4593.044943,10541.808993,7.500000,7.500000
-4584.006182,10608.954080,7.500000,7.500000
-4573.531985,10675.835399,7.500000,7.500000
-4557.506192,10741.613592,7.500000,7.500000
-4531.623352,10804.225415,7.500000,7.500000
-4505.740512,10866.837238,7.500000,7.500000
-4479.857671,10929.449062,7.500000,7.500000
-4453.966628,10992.056804,7.500000,7.500000
-4419.647558,11050.472241,7.500000,7.500000
-4385.328489,11108.887678,7.500000,7.500000
-4352.118890,11167.902955,7.500000,7.500000
-4322.034917,11228.608115,7.500000,7.500000
-4296.088247,11290.956102,7.500000,7.500000
-4276.334255,11355.763058,7.500000,7.500000
-4256.580263,11420.570015,7.500000,7.500000
-4244.427962,11486.798155,7.500000,7.500000
-4239.433923,11554.364577,7.500000,7.500000
-4234.439883,11621.930999,7.500000,7.500000
-4230.720862,11689.483233,7.500000,7.500000
-4237.217237,11756.921790,7.500000,7.500000
-4243.713611,11824.360347,7.500000,7.500000
-4250.209986,11891.798903,7.500000,7.500000
-4262.560024,11958.378122,7.500000,7.500000
-4277.125262,12024.516629,7.500000,7.500000
-4294.202201,12090.079881,7.500000,7.500000
-4311.279141,12155.643132,7.500000,7.500000
-4328.568426,12221.146399,7.500000,7.500000
-4348.319398,12285.954276,7.500000,7.500000
-4368.070371,12350.762153,7.500000,7.500000
-4387.821343,12415.570030,7.500000,7.500000
-4417.412302,12476.338740,7.500000,7.500000
-4448.890622,12536.332716,7.500000,7.500000
-4482.204288,12595.065994,7.500000,7.500000
-4526.906301,12645.976620,7.500000,7.500000
-4579.446212,12687.070801,7.500000,7.500000
-4638.989176,12719.394124,7.500000,7.500000
-4698.532140,12751.717448,7.500000,7.500000
-4755.249703,12788.511074,7.500000,7.500000
-4809.996308,12828.423115,7.500000,7.500000
-4864.742913,12868.335156,7.500000,7.500000
-4906.752991,12920.538672,7.500000,7.500000
-4944.693385,12976.669665,7.500000,7.500000
-4967.457178,13040.038494,7.500000,7.500000
-4987.195313,13104.850281,7.500000,7.500000
-5006.933448,13169.662069,7.500000,7.500000
-5020.673835,13235.644688,7.500000,7.500000
-5026.759979,13303.121503,7.500000,7.500000
-5032.846123,13370.598319,7.500000,7.500000
-5038.932267,13438.075135,7.500000,7.500000
-5041.538910,13505.729560,7.500000,7.500000
-5042.355125,13573.475376,7.500000,7.500000
-5042.762996,13641.220250,7.500000,7.500000
-5041.633974,13708.961575,7.500000,7.500000
-5038.635952,13776.612812,7.500000,7.500000
-5033.244433,13844.148679,7.500000,7.500000
-5027.852914,13911.684546,7.500000,7.500000
-5022.461396,13979.220413,7.500000,7.500000
-5010.917554,14045.953454,7.500000,7.500000
-4998.797934,14112.611362,7.500000,7.500000
-4979.201812,14177.328012,7.500000,7.500000
-4957.361594,14241.461986,7.500000,7.500000
-4935.521376,14305.595961,7.500000,7.500000
-4902.028799,14364.305827,7.500000,7.500000
-4867.015429,14422.307774,7.500000,7.500000
-4831.326645,14479.792702,7.500000,7.500000
-4784.476812,14528.734044,7.500000,7.500000
-4737.626980,14577.675387,7.500000,7.500000
-4686.381355,14621.749409,7.500000,7.500000
-4632.704330,14663.056273,7.500000,7.500000
-4575.224240,14698.919919,7.500000,7.500000
-4517.703235,14734.713816,7.500000,7.500000
-4458.350465,14767.385065,7.500000,7.500000
-4398.997696,14800.056314,7.500000,7.500000
-4339.644926,14832.727564,7.500000,7.500000
-4281.478315,14867.328599,7.500000,7.500000
-4225.525310,14905.530995,7.500000,7.500000
-4169.572305,14943.733392,7.500000,7.500000
-4124.316172,14993.367544,7.500000,7.500000
-4082.485684,15046.662685,7.500000,7.500000
-4040.655195,15099.957825,7.500000,7.500000
-4007.878278,15158.433429,7.500000,7.500000
-3983.126044,15221.500764,7.500000,7.500000
-3958.373811,15284.568099,7.500000,7.500000
-3939.651999,15349.460434,7.500000,7.500000
-3925.281044,15415.669477,7.500000,7.500000
-3912.713886,15482.229723,7.500000,7.500000
-3901.194695,15548.994011,7.500000,7.500000
-3889.675505,15615.758298,7.500000,7.500000
-3878.156314,15682.522586,7.500000,7.500000
-3865.474285,15749.058474,7.500000,7.500000
-3850.884881,15815.219725,7.500000,7.500000
-3836.295477,15881.380976,7.500000,7.500000
-3820.610660,15947.278435,7.500000,7.500000
-3803.482075,16012.828213,7.500000,7.500000
-3786.353490,16078.377991,7.500000,7.500000
-3768.438411,16143.709404,7.500000,7.500000
-3749.321435,16208.707120,7.500000,7.500000
-3730.204460,16273.704836,7.500000,7.500000
-3710.773053,16338.608735,7.500000,7.500000
-3691.741957,16403.631648,7.500000,7.500000
-3672.710860,16468.654560,7.500000,7.500000
-3653.679764,16533.677473,7.500000,7.500000
-3636.074179,16599.067679,7.500000,7.500000
-3621.314476,16665.191147,7.500000,7.500000
-3606.554773,16731.314615,7.500000,7.500000
-3591.795071,16797.438083,7.500000,7.500000
-3582.036487,16864.471363,7.500000,7.500000
-3572.562640,16931.556444,7.500000,7.500000
-3563.088792,16998.641525,7.500000,7.500000
-3553.676696,17065.734615,7.500000,7.500000
-3545.722156,17133.016760,7.500000,7.500000
-3537.767617,17200.298906,7.500000,7.500000
-3529.840682,17267.584071,7.500000,7.500000
