# x_m,y_m,w_tr_right_m,w_tr_left_m
2211.000000,-450.000000,7.500000,7.500000
2255.912035,-398.946148,7.500000,7.500000
2300.824070,-347.892296,7.500000,7.500000
2345.933114,-297.013476,7.500000,7.500000
2391.344023,-246.402844,7.500000,7.500000
2436.754932,-195.792213,7.500000,7.500000
2482.148620,-145.166140,7.500000,7.500000
2527.525771,-94.525239,7.500000,7.500000
2572.902922,-43.884339,7.500000,7.500000
2618.280073,6.756562,7.500000,7.500000
2663.657225,57.397463,7.500000,7.500000
2709.034496,108.038255,7.500000,7.500000
2754.570424,158.536432,7.500000,7.500000
2800.106353,209.034609,7.500000,7.500000
2845.642281,259.532786,7.500000,7.500000
2890.953594,310.231943,7.500000,7.500000
2936.098812,361.079715,7.500000,7.500000
2981.361384,411.822778,7.500000,7.500000
3026.755987,462.448035,7.500000,7.500000
3072.150590,513.073292,7.500000,7.500000
3117.545194,563.698549,7.500000,7.500000
3162.939797,614.323806,7.500000,7.500000
3208.323340,664.958963,7.500000,7.500000
3253.623823,715.668458,7.500000,7.500000
3299.138332,766.185477,7.500000,7.500000
3344.774017,816.593522,7.500000,7.500000
3390.409702,867.001566,7.500000,7.500000
3435.986731,917.462496,7.500000,7.500000
3481.417226,968.055547,7.500000,7.500000
3526.998580,1018.511959,7.500000,7.500000
3572.861541,1068.713308,7.500000,7.500000
3617.670841,1119.850365,7.500000,7.500000
3662.100897,1171.324210,7.500000,7.500000
3699.672521,1227.918214,7.500000,7.500000
3736.394174,1285.146764,7.500000,7.500000
3764.921457,1346.688460,7.500000,7.500000
3782.389332,1412.314660,7.500000,7.500000
3790.200396,1479.646015,7.500000,7.500000
3787.021898,1547.277372,7.500000,7.500000
3774.031645,1613.572372,7.500000,7.500000
3748.966217,1676.780845,7.500000,7.500000
3718.222300,1737.002063,7.500000,7.500000
3679.867846,1793.103124,7.500000,7.500000
3631.166411,1840.555805,7.500000,7.500000
3579.201642,1883.989522,7.500000,7.500000
3521.501299,1919.749350,7.500000,7.500000
3459.475291,1947.398224,7.500000,7.500000
3394.301283,1966.526936,7.500000,7.500000
3328.182932,1982.033715,7.500000,7.500000
3260.601528,1989.190591,7.500000,7.500000
3192.743197,1992.604275,7.500000,7.500000
3124.924557,1988.909588,7.500000,7.500000
3057.665308,1978.920590,7.500000,7.500000
2991.320662,1964.330166,7.500000,7.500000
2926.994468,1942.540803,7.500000,7.500000
2863.489414,1918.311909,7.500000,7.500000
2802.993771,1887.306112,7.500000,7.500000
2743.378114,1854.605151,7.500000,7.500000
2685.974208,1818.158227,7.500000,7.500000
2630.096035,1779.421960,7.500000,7.500000
2574.954932,1739.672654,7.500000,7.500000
2521.642198,1697.466740,7.500000,7.500000
2470.556991,1652.606214,7.500000,7.500000
2420.795694,1606.294711,7.500000,7.500000
2372.194832,1558.739029,7.500000,7.500000
