# x_m,y_m,w_tr_right_m,w_tr_left_m
-1300.000000,-1234.000000,7.500000,7.500000
-1342.159795,-1193.933244,7.500000,7.500000
-1384.319591,-1153.866488,7.500000,7.500000
-1426.479386,-1113.799733,7.500000,7.500000
-1468.639181,-1073.732977,7.500000,7.500000
-1510.798977,-1033.666221,7.500000,7.500000
-1552.958772,-993.599465,7.500000,7.500000
-1595.079999,-953.492251,7.500000,7.500000
-1637.115844,-913.295474,7.500000,7.500000
-1679.151690,-873.098696,7.500000,7.500000
-1721.187536,-832.901919,7.500000,7.500000
-1763.304640,-792.790458,7.500000,7.500000
-1805.501428,-752.762664,7.500000,7.500000
-1847.698216,-712.734870,7.500000,7.500000
-1889.895004,-672.707075,7.500000,7.500000
-1932.091793,-632.679281,7.500000,7.500000
-1974.275784,-592.638006,7.500000,7.500000
-2016.443045,-552.579107,7.500000,7.500000
-2058.610306,-512.520209,7.500000,7.500000
-2100.777568,-472.461311,7.500000,7.500000
-2142.944829,-432.402412,7.500000,7.500000
-2185.112090,-392.343514,7.500000,7.500000
-2227.279352,-352.284616,7.500000,7.500000
-2269.514382,-312.297206,7.500000,7.500000
-2311.767082,-272.328436,7.500000,7.500000
-2353.978952,-232.316766,7.500000,7.500000
-2395.985892,-192.089782,7.500000,7.500000
-2437.992831,-151.862797,7.500000,7.500000
-2480.074227,-111.713968,7.500000,7.500000
-2522.289680,-71.705859,7.500000,7.500000
-2564.505133,-31.697750,7.500000,7.500000
-2606.720586,8.310359,7.500000,7.500000
-2648.936039,48.318468,7.500000,7.500000
-2691.151492,88.326577,7.500000,7.500000
-2733.366945,128.334686,7.500000,7.500000
-2775.577167,168.348308,7.500000,7.500000
-2817.744428,208.407206,7.500000,7.500000
-2859.911689,248.466105,7.500000,7.500000
-2902.078951,288.525003,7.500000,7.500000
-2944.246212,328.583901,7.500000,7.500000
-2986.563702,368.483954,7.500000,7.500000
-3028.909843,408.353712,7.500000,7.500000
-3071.255984,448.223470,7.500000,7.500000
-3113.602125,488.093228,7.500000,7.500000
-3155.997839,527.910252,7.500000,7.500000
-3198.405816,567.714231,7.500000,7.500000
-3240.748812,607.586459,7.500000,7.500000
-3282.584324,647.991697,7.500000,7.500000
-3324.419835,688.396935,7.500000,7.500000
-3365.342656,729.684249,7.500000,7.500000
-3404.297603,772.873430,7.500000,7.500000
-3443.252551,816.062611,7.500000,7.500000
-3482.207498,859.251792,7.500000,7.500000
-3516.673120,905.999496,7.500000,7.500000
-3549.830080,953.784527,7.500000,7.500000
-3582.987041,1001.569559,7.500000,7.500000
-3611.761786,1052.002345,7.500000,7.500000
-3636.317062,1104.597528,7.500000,7.500000
-3655.967879,1159.339091,7.500000,7.500000
-3659.861213,1217.113960,7.500000,7.500000
-3661.937096,1275.238688,7.500000,7.500000
-3664.012979,1333.363416,7.500000,7.500000
-3665.472970,1391.433309,7.500000,7.500000
-3653.161187,1448.277071,7.500000,7.500000
-3640.849405,1505.120833,7.500000,7.500000
-3628.537622,1561.964595,7.500000,7.500000
-3615.836378,1618.717762,7.500000,7.500000
-3601.796154,1675.159461,7.500000,7.500000
-3587.755930,1731.601160,7.500000,7.500000
-3573.715707,1788.042859,7.500000,7.500000
-3563.537329,1845.238696,7.500000,7.500000
-3555.312011,1902.815926,7.500000,7.500000
-3552.717483,1960.812448,7.500000,7.500000
-3552.324507,2018.972905,7.500000,7.500000
-3552.777211,2077.103745,7.500000,7.500000
-3558.619354,2134.954832,7.500000,7.500000
-3565.833436,2192.667485,7.500000,7.500000
-3575.233124,2249.955623,7.500000,7.500000
-3590.147824,2306.172568,7.500000,7.500000
-3605.062524,2362.389514,7.500000,7.500000
-3619.977224,2418.606460,7.500000,7.500000
-3634.891924,2474.823406,7.500000,7.500000
-3658.742508,2527.801633,7.500000,7.500000
-3683.310259,2580.519930,7.500000,7.500000
-3713.022878,2630.509668,7.500000,7.500000
-3742.884112,2680.420588,7.500000,7.500000
-3775.309122,2728.647474,7.500000,7.500000
