# x_m,y_m,w_tr_right_m,w_tr_left_m
-1105.000000,-979.000000,7.500000,7.500000
-1134.022794,-926.698507,7.500000,7.500000
-1163.045588,-874.397013,7.500000,7.500000
-1192.068382,-822.095520,7.500000,7.500000
-1220.930576,-769.705372,7.500000,7.500000
-1249.721375,-717.275812,7.500000,7.500000
-1278.512173,-664.846253,7.500000,7.500000
-1307.455285,-612.501070,7.500000,7.500000
-1336.634052,-560.286433,7.500000,7.500000
-1365.693717,-508.005643,7.500000,7.500000
-1394.601251,-455.640356,7.500000,7.500000
-1423.508785,-403.275069,7.500000,7.500000
-1452.416319,-350.909782,7.500000,7.500000
-1481.299108,-298.530870,7.500000,7.500000
-1510.093526,-246.103298,7.500000,7.500000
-1538.887943,-193.675726,7.500000,7.500000
-1567.682361,-141.248154,7.500000,7.500000
-1596.633284,-88.907106,7.500000,7.500000
-1625.718879,-36.640511,7.500000,7.500000
-1654.804474,15.626085,7.500000,7.500000
-1683.890069,67.892680,7.500000,7.500000
-1712.975663,120.159275,7.500000,7.500000
-1741.810523,172.564587,7.500000,7.500000
-1770.636229,224.974962,7.500000,7.500000
-1799.472463,277.379545,7.500000,7.500000
-1828.313762,329.781342,7.500000,7.500000
-1857.155061,382.183138,7.500000,7.500000
-1885.996359,434.584935,7.500000,7.500000
-1914.837658,486.986731,7.500000,7.500000
-1943.810307,539.315948,7.500000,7.500000
-1972.826352,591.621187,7.500000,7.500000
-2001.842396,643.926425,7.500000,7.500000
-2030.858441,696.231663,7.500000,7.500000
-2059.874485,748.536901,7.500000,7.500000
-2088.839017,800.870652,7.500000,7.500000
-2117.754681,853.231450,7.500000,7.500000
-2146.670346,905.592248,7.500000,7.500000
-2175.606902,957.940896,7.500000,7.500000
-2204.832445,1010.129366,7.500000,7.500000
-2234.057988,1062.317836,7.500000,7.500000
-2263.283532,1114.506306,7.500000,7.500000
-2292.509075,1166.694776,7.500000,7.500000
-2321.734618,1218.883247,7.500000,7.500000
-2350.960161,1271.071717,7.500000,7.500000
-2380.185705,1323.260187,7.500000,7.500000
-2409.757521,1375.252572,7.500000,7.500000
-2439.478870,1427.160280,7.500000,7.500000
-2469.132010,1479.106852,7.500000,7.500000
-2498.633009,1531.140110,7.500000,7.500000
-2528.134007,1583.173367,7.500000,7.500000
-2557.635006,1635.206625,7.500000,7.500000
-2587.135530,1687.240150,7.500000,7.500000
-2616.533670,1739.331591,7.500000,7.500000
-2645.939312,1791.418787,7.500000,7.500000
-2675.451616,1843.445632,7.500000,7.500000
-2704.963920,1895.472478,7.500000,7.500000
-2734.476225,1947.499324,7.500000,7.500000
-2764.046112,1999.493452,7.500000,7.500000
-2793.632341,2051.478294,7.500000,7.500000
-2823.218570,2103.463137,7.500000,7.500000
-2852.804799,2155.447979,7.500000,7.500000
-2882.391027,2207.432822,7.500000,7.500000
-2911.977256,2259.417665,7.500000,7.500000
-2941.564020,2311.402203,7.500000,7.500000
-2971.150920,2363.386663,7.500000,7.500000
-3000.737820,2415.371124,7.500000,7.500000
-3030.316596,2467.360204,7.500000,7.500000
-3059.858349,2519.370333,7.500000,7.500000
-3089.400103,2571.380463,7.500000,7.500000
-3118.817961,2623.460715,7.500000,7.500000
-3148.200177,2675.561139,7.500000,7.500000
-3177.582393,2727.661563,7.500000,7.500000
-3207.077127,2779.698194,7.500000,7.500000
-3236.696088,2831.664394,7.500000,7.500000
-3266.315049,2883.630594,7.500000,7.500000
-3295.934009,2935.596794,7.500000,7.500000
-3325.552970,2987.562995,7.500000,7.500000
-3355.171930,3039.529195,7.500000,7.500000
-3384.650239,3091.575261,7.500000,7.500000
-3414.101156,3143.636881,7.500000,7.500000
-3443.552072,3195.698502,7.500000,7.500000
-3473.002989,3247.760122,7.500000,7.500000
-3502.453905,3299.821742,7.500000,7.500000
-3531.952371,3351.856414,7.500000,7.500000
-3561.486126,3403.871087,7.500000,7.500000
-3591.019880,3455.885759,7.500000,7.500000
-3620.553635,3507.900431,7.500000,7.500000
-3650.127956,3559.891495,7.500000,7.500000
-3680.763503,3611.264952,7.500000,7.500000
-3711.399051,3662.638408,7.500000,7.500000
-3742.106055,3713.969179,7.500000,7.500000
-3772.819689,3765.295990,7.500000,7.500000
-3803.533322,3816.622800,7.500000,7.500000
-3834.246956,3867.949611,7.500000,7.500000
-3864.933633,3919.292403,7.500000,7.500000
-3895.224979,3970.869560,7.500000,7.500000
-3925.595087,4022.400364,7.500000,7.500000
-3955.979933,4073.922495,7.500000,7.500000
-3986.364779,4125.444625,7.500000,7.500000
-4016.242998,4177.261443,7.500000,7.500000
-4046.005864,4229.145358,7.500000,7.500000
-4075.768730,4281.029272,7.500000,7.500000
-4105.531596,4332.913187,7.500000,7.500000
-4135.294462,4384.797102,7.500000,7.500000
-4162.724696,4437.938725,7.500000,7.500000
-4189.716884,4491.316535,7.500000,7.500000
