# x_m,y_m,w_tr_right_m,w_tr_left_m
1023.000000,-273.000000,7.500000,7.500000
1014.272635,-219.981258,7.500000,7.500000
1005.545270,-166.962515,7.500000,7.500000
996.817905,-113.943773,7.500000,7.500000
988.090540,-60.925030,7.500000,7.500000
979.607422,-7.867467,7.500000,7.500000
971.466181,45.244435,7.500000,7.500000
963.324941,98.356337,7.500000,7.500000
955.031972,151.444717,7.500000,7.500000
946.709511,204.528524,7.500000,7.500000
938.387050,257.612331,7.500000,7.500000
930.064589,310.696138,7.500000,7.500000
921.939712,363.809962,7.500000,7.500000
914.121993,416.970447,7.500000,7.500000
906.304275,470.130933,7.500000,7.500000
898.486556,523.291418,7.500000,7.500000
890.668838,576.451904,7.500000,7.500000
882.785537,629.602700,7.500000,7.500000
874.896100,682.752589,7.500000,7.500000
867.153729,735.923898,7.500000,7.500000
859.554842,789.116104,7.500000,7.500000
851.955956,842.308311,7.500000,7.500000
844.357069,895.500518,7.500000,7.500000
836.758182,948.692725,7.500000,7.500000
829.352173,1001.911926,7.500000,7.500000
822.056062,1055.146508,7.500000,7.500000
814.759952,1108.381090,7.500000,7.500000
807.463842,1161.615672,7.500000,7.500000
800.481416,1214.892241,7.500000,7.500000
793.520285,1268.171662,7.500000,7.500000
786.559155,1321.451082,7.500000,7.500000
779.626032,1374.734124,7.500000,7.500000
772.803964,1428.031529,7.500000,7.500000
765.981897,1481.328933,7.500000,7.500000
759.159829,1534.626338,7.500000,7.500000
752.337761,1587.923742,7.500000,7.500000
745.629277,1641.235445,7.500000,7.500000
739.029599,1694.560844,7.500000,7.500000
732.429920,1747.886243,7.500000,7.500000
725.830242,1801.211642,7.500000,7.500000
719.086864,1854.518985,7.500000,7.500000
712.288342,1907.819398,7.500000,7.500000
705.489820,1961.119811,7.500000,7.500000
698.714927,2014.423121,7.500000,7.500000
692.436785,2067.787330,7.500000,7.500000
686.158642,2121.151540,7.500000,7.500000
680.020488,2174.531845,7.500000,7.500000
674.024078,2227.928446,7.500000,7.500000
668.027669,2281.325047,7.500000,7.500000
662.031259,2334.721648,7.500000,7.500000
656.097198,2388.125214,7.500000,7.500000
650.163465,2441.528816,7.500000,7.500000
644.229731,2494.932419,7.500000,7.500000
638.323016,2548.339014,7.500000,7.500000
632.423364,2601.746393,7.500000,7.500000
626.523711,2655.153771,7.500000,7.500000
620.186298,2708.509613,7.500000,7.500000
613.521634,2761.826929,7.500000,7.500000
606.818566,2815.138787,7.500000,7.500000
598.364461,2868.201788,7.500000,7.500000
589.910356,2921.264789,7.500000,7.500000
581.456250,2974.327790,7.500000,7.500000
573.002145,3027.390790,7.500000,7.500000
564.548040,3080.453791,7.500000,7.500000
553.800354,3133.039443,7.500000,7.500000
540.382130,3185.069292,7.500000,7.500000
526.963906,3237.099141,7.500000,7.500000
513.545681,3289.128990,7.500000,7.500000
493.388513,3338.817276,7.500000,7.500000
469.657419,3386.904092,7.500000,7.500000
439.567376,3431.420868,7.500000,7.500000
409.477334,3475.937643,7.500000,7.500000
372.254072,3514.307737,7.500000,7.500000
330.739524,3547.746343,7.500000,7.500000
281.972267,3570.305346,7.500000,7.500000
233.205010,3592.864349,7.500000,7.500000
183.769604,3613.518251,7.500000,7.500000
131.594796,3626.361281,7.500000,7.500000
78.890100,3636.804111,7.500000,7.500000
26.268379,3647.624581,7.500000,7.500000
-25.925614,3660.389417,7.500000,7.500000
-78.119607,3673.154252,7.500000,7.500000
-130.313601,3685.919087,7.500000,7.500000
-180.060652,3705.594647,7.500000,7.500000
-228.657790,3728.517826,7.500000,7.500000
-275.167631,3755.092855,7.500000,7.500000
-318.370569,3786.958892,7.500000,7.500000
-360.036477,3820.886846,7.500000,7.500000
-401.702385,3854.814799,7.500000,7.500000
-443.282519,3888.844849,7.500000,7.500000
-483.887388,3924.035736,7.500000,7.500000
-525.484967,3958.023903,7.500000,7.500000
-567.735615,3991.220840,7.500000,7.500000
-609.986263,4024.417778,7.500000,7.500000
-656.828415,4050.344066,7.500000,7.500000
-705.209733,4073.719309,7.500000,7.500000
-757.545045,4084.697754,7.500000,7.500000
-810.866164,4087.328030,7.500000,7.500000
-863.761189,4078.950561,7.500000,7.500000
-914.132013,4060.800566,7.500000,7.500000
-958.872757,4031.376602,7.500000,7.500000
-998.832789,3995.845025,7.500000,7.500000
-1030.017420,3952.306236,7.500000,7.500000
-1057.920907,3906.476290,7.500000,7.500000
-1079.805664,3857.424706,7.500000,7.500000
-1097.987367,3806.891279,7.500000,7.500000
-1110.542336,3754.646407,7.500000,7.500000
-1123.097306,3702.401535,7.500000,7.500000
-1133.384049,3649.695705,7.500000,7.500000
-1140.735831,3596.477647,7.500000,7.500000
-1147.464191,3543.168331,7.500000,7.500000
-1151.406830,3489.602532,7.500000,7.500000
-1153.755376,3435.948914,7.500000,7.500000
-1152.303683,3382.236284,7.500000,7.500000
-1150.851991,3328.523655,7.500000,7.500000
-1147.791308,3274.913083,7.500000,7.500000
-1142.444750,3221.447503,7.500000,7.500000
-1135.889384,3168.141893,7.500000,7.500000
-1127.144501,3115.126037,7.500000,7.500000
-1116.709615,3062.442124,7.500000,7.500000
-1104.752200,3010.057258,7.500000,7.500000
-1090.272216,2958.332494,7.500000,7.500000
-1075.038026,2906.805090,7.500000,7.500000
-1058.671967,2855.637770,7.500000,7.500000
-1041.333973,2804.779654,7.500000,7.500000
-1022.720440,2754.378730,7.500000,7.500000
