# x_m,y_m,w_tr_right_m,w_tr_left_m
1003.000000,-1235.000000,7.500000,7.500000
957.195358,-1247.262660,7.500000,7.500000
911.390715,-1259.525320,7.500000,7.500000
865.586073,-1271.787981,7.500000,7.500000
819.781430,-1284.050641,7.500000,7.500000
773.976788,-1296.313301,7.500000,7.500000
728.180664,-1308.607685,7.500000,7.500000
682.394756,-1320.940112,7.500000,7.500000
636.608848,-1333.272539,7.500000,7.500000
590.822941,-1345.604966,7.500000,7.500000
545.037033,-1357.937394,7.500000,7.500000
499.251125,-1370.269821,7.500000,7.500000
453.465217,-1382.602248,7.500000,7.500000
407.690341,-1394.975451,7.500000,7.500000
361.932003,-1407.409782,7.500000,7.500000
316.173665,-1419.844113,7.500000,7.500000
270.415326,-1432.278444,7.500000,7.500000
224.656988,-1444.712775,7.500000,7.500000
178.898650,-1457.147106,7.500000,7.500000
133.120972,-1469.509664,7.500000,7.500000
87.310144,-1481.749198,7.500000,7.500000
41.499317,-1493.988732,7.500000,7.500000
-4.266630,-1506.393883,7.500000,7.500000
-49.989261,-1518.958881,7.500000,7.500000
-95.711891,-1531.523879,7.500000,7.500000
-141.471617,-1543.952659,7.500000,7.500000
-187.251870,-1556.306060,7.500000,7.500000
-233.032123,-1568.659462,7.500000,7.500000
-278.812377,-1581.012864,7.500000,7.500000
-324.592630,-1593.366265,7.500000,7.500000
-370.372883,-1605.719667,7.500000,7.500000
-416.153136,-1618.073068,7.500000,7.500000
-461.914361,-1630.496706,7.500000,7.500000
-507.669677,-1642.942152,7.500000,7.500000
-553.424994,-1655.387598,7.500000,7.500000
-599.180310,-1667.833044,7.500000,7.500000
-644.935626,-1680.278490,7.500000,7.500000
-690.711997,-1692.645650,7.500000,7.500000
-736.537676,-1704.829461,7.500000,7.500000
-782.363355,-1717.013273,7.500000,7.500000
-828.189033,-1729.197084,7.500000,7.500000
-874.014712,-1741.380896,7.500000,7.500000
-919.840391,-1753.564707,7.500000,7.500000
-965.579689,-1766.067804,7.500000,7.500000
-1011.297407,-1778.650663,7.500000,7.500000
-1057.015126,-1791.233521,7.500000,7.500000
-1102.732844,-1803.816379,7.500000,7.500000
-1148.451341,-1816.396401,7.500000,7.500000
-1194.193567,-1828.889873,7.500000,7.500000
-1239.935793,-1841.383344,7.500000,7.500000
-1285.678020,-1853.876816,7.500000,7.500000
-1331.420246,-1866.370288,7.500000,7.500000
-1377.156263,-1878.886182,7.500000,7.500000
-1422.808671,-1891.703973,7.500000,7.500000
-1468.461078,-1904.521764,7.500000,7.500000
-1514.113486,-1917.339556,7.500000,7.500000
-1559.765894,-1930.157347,7.500000,7.500000
-1605.418302,-1942.975139,7.500000,7.500000
-1651.070625,-1955.793230,7.500000,7.500000
-1696.722808,-1968.611823,7.500000,7.500000
-1742.374990,-1981.430416,7.500000,7.500000
-1788.027173,-1994.249009,7.500000,7.500000
-1833.679356,-2007.067602,7.500000,7.500000
-1879.419347,-2019.568913,7.500000,7.500000
-1925.166227,-2032.045335,7.500000,7.500000
-1970.913107,-2044.521756,7.500000,7.500000
-2016.659987,-2056.998178,7.500000,7.500000
-2062.406867,-2069.474600,7.500000,7.500000
-2108.153746,-2081.951022,7.500000,7.500000
-2153.900626,-2094.427443,7.500000,7.500000
-2199.653528,-2106.881692,7.500000,7.500000
-2245.426283,-2119.262847,7.500000,7.500000
-2291.199038,-2131.644002,7.500000,7.500000
-2336.971794,-2144.025157,7.500000,7.500000
-2382.744549,-2156.406312,7.500000,7.500000
-2428.517304,-2168.787467,7.500000,7.500000
-2474.562019,-2180.109680,7.500000,7.500000
-2520.636261,-2191.316928,7.500000,7.500000
-2566.710502,-2202.524176,7.500000,7.500000
-2612.784743,-2213.731424,7.500000,7.500000
-2658.951600,-2224.397146,7.500000,7.500000
-2706.131620,-2229.138856,7.500000,7.500000
-2753.311640,-2233.880567,7.500000,7.500000
-2800.491660,-2238.622277,7.500000,7.500000
-2847.671680,-2243.363988,7.500000,7.500000
-2894.943221,-2240.938825,7.500000,7.500000
-2942.228940,-2237.403444,7.500000,7.500000
-2988.245914,-2227.322957,7.500000,7.500000
-3033.427680,-2212.933860,7.500000,7.500000
-3078.609446,-2198.544762,7.500000,7.500000
-3123.190085,-2182.837292,7.500000,7.500000
-3163.681992,-2158.162536,7.500000,7.500000
-3202.390734,-2130.922691,7.500000,7.500000
-3238.968014,-2100.837162,7.500000,7.500000
-3271.846516,-2066.669307,7.500000,7.500000
-3299.241589,-2028.373919,7.500000,7.500000
-3322.980078,-1987.326115,7.500000,7.500000
-3346.718567,-1946.278311,7.500000,7.500000
-3370.457057,-1905.230506,7.500000,7.500000
-3393.665999,-1863.884551,7.500000,7.500000
-3416.451847,-1822.300380,7.500000,7.500000
-3439.237694,-1780.716209,7.500000,7.500000
-3462.023541,-1739.132038,7.500000,7.500000
-3484.809388,-1697.547867,7.500000,7.500000
-3508.377859,-1656.426887,7.500000,7.500000
-3533.867591,-1616.442995,7.500000,7.500000
-3559.854662,-1576.791663,7.500000,7.500000
-3587.067443,-1537.959941,7.500000,7.500000
-3614.280225,-1499.128219,7.500000,7.500000
-3641.485819,-1460.291514,7.500000,7.500000
-3668.301872,-1421.184771,7.500000,7.500000
-3695.117925,-1382.078027,7.500000,7.500000
-3721.870362,-1342.927888,7.500000,7.500000
-3748.495466,-1303.690892,7.500000,7.500000
-3775.027150,-1264.391340,7.500000,7.500000
-3801.166501,-1224.829079,7.500000,7.500000
-3827.305852,-1185.266819,7.500000,7.500000
-3853.504193,-1145.743710,7.500000,7.500000
-3879.721741,-1106.233538,7.500000,7.500000
-3905.737766,-1066.590070,7.500000,7.500000
-3931.753792,-1026.946603,7.500000,7.500000
-3957.939135,-987.414843,7.500000,7.500000
-3984.148617,-947.899008,7.500000,7.500000
-4010.368003,-908.389748,7.500000,7.500000
-4036.602547,-868.890547,7.500000,7.500000
-4062.837090,-829.391347,7.500000,7.500000
-4089.071225,-789.891876,7.500000,7.500000
-4115.155858,-750.293517,7.500000,7.500000
-4141.240491,-710.695158,7.500000,7.500000
-4167.325124,-671.096799,7.500000,7.500000
-4193.461509,-631.532590,7.500000,7.500000
-4219.609193,-591.975837,7.500000,7.500000
-4245.756877,-552.419083,7.500000,7.500000
-4271.775970,-512.777687,7.500000,7.500000
-4297.770153,-473.119894,7.500000,7.500000
-4323.764337,-433.462101,7.500000,7.500000
-4349.891277,-393.891706,7.500000,7.500000
-4376.044060,-354.338323,7.500000,7.500000
-4402.196842,-314.784941,7.500000,7.500000
-4428.349625,-275.231558,7.500000,7.500000
-4454.500771,-235.677094,7.500000,7.500000
-4480.645774,-196.118568,7.500000,7.500000
-4506.790776,-156.560043,7.500000,7.500000
-4532.935779,-117.001517,7.500000,7.500000
-4559.080782,-77.442991,7.500000,7.500000
-4585.131564,-37.822392,7.500000,7.500000
-4611.160509,1.812594,7.500000,7.500000
-4637.189455,41.447580,7.500000,7.500000
-4663.218401,81.082565,7.500000,7.500000
-4689.247347,120.717551,7.500000,7.500000
-4714.951018,160.563589,7.500000,7.500000
-4740.540743,200.483560,7.500000,7.500000
-4766.130468,240.403531,7.500000,7.500000
-4791.213807,280.642567,7.500000,7.500000
-4816.178138,320.956588,7.500000,7.500000
-4841.142469,361.270609,7.500000,7.500000
-4866.106800,401.584630,7.500000,7.500000
-4891.071131,441.898651,7.500000,7.500000
-4916.035462,482.212672,7.500000,7.500000
-4940.071533,523.085001,7.500000,7.500000
-4963.982519,564.032563,7.500000,7.500000
-4987.893504,604.980126,7.500000,7.500000
-5011.151843,646.295990,7.500000,7.500000
-5033.844082,687.931316,7.500000,7.500000
-5056.536322,729.566643,7.500000,7.500000
-5079.228561,771.201969,7.500000,7.500000
-5101.920800,812.837295,7.500000,7.500000
-5124.258329,854.661797,7.500000,7.500000
-5146.192144,896.701610,7.500000,7.500000
-5168.125960,938.741423,7.500000,7.500000
-5189.612244,981.010622,7.500000,7.500000
-5210.934839,1023.363721,7.500000,7.500000
-5232.257434,1065.716821,7.500000,7.500000
-5253.615419,1108.052043,7.500000,7.500000
-5275.052696,1150.347212,7.500000,7.500000
-5296.489973,1192.642380,7.500000,7.500000
-5317.927251,1234.937548,7.500000,7.500000
-5339.166263,1277.332527,7.500000,7.500000
-5360.372103,1319.744205,7.500000,7.500000
-5381.577942,1362.155884,7.500000,7.500000
-5402.783781,1404.567563,7.500000,7.500000
-5423.989621,1446.979241,7.500000,7.500000
-5445.195460,1489.390920,7.500000,7.500000
-5466.401299,1531.802599,7.500000,7.500000
-5487.517989,1574.258168,7.500000,7.500000
-5508.199733,1616.927871,7.500000,7.500000
-5528.881477,1659.597574,7.500000,7.500000
-5549.563221,1702.267278,7.500000,7.500000
-5570.244965,1744.936981,7.500000,7.500000
-5590.653158,1787.737405,7.500000,7.500000
-5610.860545,1830.633787,7.500000,7.500000
-5631.067931,1873.530170,7.500000,7.500000
-5651.465237,1916.336405,7.500000,7.500000
-5671.923864,1959.113533,7.500000,7.500000
-5692.382490,2001.890662,7.500000,7.500000
-5712.682340,2044.743046,7.500000,7.500000
-5732.841333,2087.662192,7.500000,7.500000
-5753.000326,2130.581338,7.500000,7.500000
-5773.240924,2173.461946,7.500000,7.500000
-5793.579525,2216.296271,7.500000,7.500000
-5813.918125,2259.130597,7.500000,7.500000
-5834.205823,2301.988915,7.500000,7.500000
-5854.301210,2344.937880,7.500000,7.500000
-5874.396597,2387.886844,7.500000,7.500000
-5894.491984,2430.835808,7.500000,7.500000
-5914.587371,2473.784772,7.500000,7.500000
-5934.930825,2516.610988,7.500000,7.500000
-5956.884382,2558.640495,7.500000,7.500000
-5978.837939,2600.670002,7.500000,7.500000
-6000.791496,2642.699509,7.500000,7.500000
-6022.745053,2684.729016,7.500000,7.500000
-6044.698610,2726.758523,7.500000,7.500000
-6066.652167,2768.788029,7.500000,7.500000
-6088.605723,2810.817536,7.500000,7.500000
-6110.559280,2852.847043,7.500000,7.500000
-6132.512837,2894.876550,7.500000,7.500000
-6154.466394,2936.906057,7.500000,7.500000
-6176.419951,2978.935564,7.500000,7.500000
-6198.373508,3020.965071,7.500000,7.500000
-6220.327065,3062.994578,7.500000,7.500000
-6243.233033,3104.476413,7.500000,7.500000
-6268.515691,3144.591563,7.500000,7.500000
-6293.798349,3184.706714,7.500000,7.500000
-6319.366742,3224.637267,7.500000,7.500000
-6345.543366,3264.174875,7.500000,7.500000
-6371.719989,3303.712484,7.500000,7.500000
-6397.896613,3343.250093,7.500000,7.500000
-6424.925754,3382.202545,7.500000,7.500000
-6452.409454,3420.842995,7.500000,7.500000
-6479.893154,3459.483444,7.500000,7.500000
-6507.376854,3498.123894,7.500000,7.500000
-6537.361941,3534.854029,7.500000,7.500000
-6567.405059,3571.539846,7.500000,7.500000
-6597.448177,3608.225663,7.500000,7.500000
-6627.491295,3644.911480,7.500000,7.500000
-6657.534413,3681.597298,7.500000,7.500000
-6687.577530,3718.283115,7.500000,7.500000
-6718.369872,3754.317361,7.500000,7.500000
-6750.532353,3789.160049,7.500000,7.500000
-6783.030089,3823.689765,7.500000,7.500000
-6815.581908,3858.168994,7.500000,7.500000
-6848.133726,3892.648223,7.500000,7.500000
-6880.685545,3927.127452,7.500000,7.500000
-6913.356696,3961.491945,7.500000,7.500000
-6946.531293,3995.372385,7.500000,7.500000
-6979.705891,4029.252824,7.500000,7.500000
-7012.880488,4063.133264,7.500000,7.500000
-7046.055085,4097.013704,7.500000,7.500000
-7079.229683,4130.894144,7.500000,7.500000
-7112.404280,4164.774584,7.500000,7.500000
-7145.646125,4198.587942,7.500000,7.500000
-7179.444081,4231.846569,7.500000,7.500000
-7213.242037,4265.105196,7.500000,7.500000
-7247.039994,4298.363823,7.500000,7.500000
-7280.837950,4331.622450,7.500000,7.500000
-7314.635906,4364.881077,7.500000,7.500000
-7348.610968,4397.957951,7.500000,7.500000
-7382.733643,4430.883339,7.500000,7.500000
-7416.856317,4463.808727,7.500000,7.500000
-7450.963619,4496.750011,7.500000,7.500000
-7485.011129,4529.753119,7.500000,7.500000
-7519.058640,4562.756228,7.500000,7.500000
-7553.106150,4595.759336,7.500000,7.500000
-7587.153660,4628.762444,7.500000,7.500000
-7621.309403,4661.653009,7.500000,7.500000
-7655.616403,4694.386293,7.500000,7.500000
-7689.923403,4727.119577,7.500000,7.500000
-7724.230402,4759.852861,7.500000,7.500000
-7758.537402,4792.586145,7.500000,7.500000
-7792.844402,4825.319429,7.500000,7.500000
-7827.159432,4858.044263,7.500000,7.500000
-7861.594500,4890.642794,7.500000,7.500000
-7896.029568,4923.241324,7.500000,7.500000
-7930.489158,4955.813930,7.500000,7.500000
-7964.951944,4988.383156,7.500000,7.500000
-7999.380891,5020.988037,7.500000,7.500000
-8033.705088,5053.703287,7.500000,7.500000
-8067.651135,5086.803559,7.500000,7.500000
-8100.979139,5120.533104,7.500000,7.500000
-8134.307143,5154.262650,7.500000,7.500000
-8164.437008,5190.845980,7.500000,7.500000
-8188.907684,5231.321185,7.500000,7.500000
-8211.888149,5272.798122,7.500000,7.500000
-8226.662805,5317.850933,7.500000,7.500000
-8225.686794,5364.758475,7.500000,7.500000
-8221.748968,5412.012381,7.500000,7.500000
-8210.790464,5456.727909,7.500000,7.500000
-8183.598199,5495.574001,7.500000,7.500000
-8148.490407,5526.837135,7.500000,7.500000
-8108.711949,5552.353627,7.500000,7.500000
-8064.925559,5570.392059,7.500000,7.500000
-8019.689845,5584.327539,7.500000,7.500000
-7973.687921,5595.828020,7.500000,7.500000
-7927.091991,5604.425281,7.500000,7.500000
-7880.240854,5611.732176,7.500000,7.500000
-7833.324704,5618.603550,7.500000,7.500000
-7786.322148,5624.844453,7.500000,7.500000
-7739.229232,5630.384796,7.500000,7.500000
-7692.153887,5636.072256,7.500000,7.500000
-7645.060616,5641.606748,7.500000,7.500000
-7597.946142,5646.960666,7.500000,7.500000
-7550.762546,5651.636164,7.500000,7.500000
-7503.536423,5655.894257,7.500000,7.500000
-7456.307636,5660.119181,7.500000,7.500000
-7409.007082,5663.450205,7.500000,7.500000
-7361.678933,5666.332688,7.500000,7.500000
-7314.326774,5668.824907,7.500000,7.500000
-7266.974615,5671.317126,7.500000,7.500000
-7219.600309,5673.323065,7.500000,7.500000
-7172.217644,5675.145475,7.500000,7.500000
-7124.834979,5676.967885,7.500000,7.500000
-7077.425150,5677.821909,7.500000,7.500000
-7030.014833,5678.658562,7.500000,7.500000
-6982.604517,5679.495214,7.500000,7.500000
-6935.192459,5679.788679,7.500000,7.500000
-6887.777754,5679.255930,7.500000,7.500000
-6840.370111,5678.348416,7.500000,7.500000
-6792.968997,5677.094418,7.500000,7.500000
-6745.567883,5675.840420,7.500000,7.500000
-6698.166769,5674.586422,7.500000,7.500000
-6650.799382,5672.534848,7.500000,7.500000
-6603.461622,5669.782652,7.500000,7.500000
-6556.123862,5667.030457,7.500000,7.500000
-6508.786102,5664.278262,7.500000,7.500000
-6461.484805,5660.963200,7.500000,7.500000
-6414.187609,5657.584829,7.500000,7.500000
-6366.890414,5654.206458,7.500000,7.500000
-6319.701023,5649.570102,7.500000,7.500000
-6272.518650,5644.851865,7.500000,7.500000
-6225.336277,5640.133628,7.500000,7.500000
-6178.180476,5635.169037,7.500000,7.500000
-6131.077224,5629.717271,7.500000,7.500000
-6083.973972,5624.265506,7.500000,7.500000
-6036.870720,5618.813741,7.500000,7.500000
-5989.767468,5613.361975,7.500000,7.500000
-5942.759613,5607.156534,7.500000,7.500000
-5895.783527,5600.700106,7.500000,7.500000
-5848.807441,5594.243677,7.500000,7.500000
-5801.831355,5587.787248,7.500000,7.500000
-5754.878803,5581.167726,7.500000,7.500000
-5707.993745,5574.080450,7.500000,7.500000
-5661.108688,5566.993174,7.500000,7.500000
-5614.223630,5559.905898,7.500000,7.500000
-5567.431086,5552.246739,7.500000,7.500000
-5520.702836,5544.190144,7.500000,7.500000
-5473.976438,5536.122870,7.500000,7.500000
-5427.265417,5527.966978,7.500000,7.500000
-5380.554396,5519.811085,7.500000,7.500000
-5333.843374,5511.655192,7.500000,7.500000
-5287.132353,5503.499300,7.500000,7.500000
-5240.421331,5495.343407,7.500000,7.500000
-5193.821297,5486.584229,7.500000,7.500000
-5147.266009,5477.581825,7.500000,7.500000
-5100.710721,5468.579421,7.500000,7.500000
-5054.155433,5459.577017,7.500000,7.500000
-5007.675031,5450.197312,7.500000,7.500000
-4961.210533,5440.737474,7.500000,7.500000
-4914.746035,5431.277636,7.500000,7.500000
-4868.279805,5421.826320,7.500000,7.500000
-4821.807801,5412.403425,7.500000,7.500000
-4775.335797,5402.980530,7.500000,7.500000
-4728.863793,5393.557635,7.500000,7.500000
-4682.391789,5384.134741,7.500000,7.500000
-4635.899087,5374.814970,7.500000,7.500000
-4589.390201,5365.575831,7.500000,7.500000
-4542.881316,5356.336692,7.500000,7.500000
