season,race_name,driver,team,fp1_pos,fp1_time_fastest_lap,fp2_pos,fp2_time_fastest_lap,fp3_pos,fp3_time_fastest_lap,Qualifying_Final_Grid_Position,Q1_fastest_lap,Q2_fastest_lap,Q3_fastest_lap,Race_Finishing_Position,fastest_lap
2024,Abu Dhabi Grand Prix,ALB,Williams,,,9.0,1:24.269,12.0,1:24.378,16.0,1:23.820,,,11.0,1:29.438
2024,Abu Dhabi Grand Prix,ALO,Aston Martin,11.0,1:25.504,16.0,1:24.573,15.0,1:24.453,8.0,1:23.793,1:23.268,1:23.195,9.0,1:27.947
2024,Abu Dhabi Grand Prix,BOT,Kick Sauber,,,,,,,9.0,1:23.480,1:23.340,1:23.203,18.0,1:29.481
2024,Abu Dhabi Grand Prix,BOT,Sauber,13.0,1:25.611,7.0,1:24.230,16.0,1:24.478,,,,,,
2024,Abu Dhabi Grand Prix,COL,Williams,7.0,1:25.382,20.0,1:25.265,20.0,1:24.766,19.0,1:23.912,,,19.0,1:29.411
2024,Abu Dhabi Grand Prix,DOO,Alpine,19.0,1:26.304,19.0,1:24.960,14.0,1:24.433,20.0,1:24.105,,,15.0,1:29.120
2024,Abu Dhabi Grand Prix,GAS,Alpine,5.0,1:25.332,12.0,1:24.516,13.0,1:24.408,6.0,1:23.548,1:23.085,1:22.983,7.0,1:29.212
2024,Abu Dhabi Grand Prix,HAM,Mercedes,3.0,1:24.805,5.0,1:24.118,3.0,1:23.822,18.0,1:23.887,,,4.0,1:27.278
2024,Abu Dhabi Grand Prix,HUL,Haas,6.0,1:25.373,3.0,1:23.978,7.0,1:24.093,,,,,,
2024,Abu Dhabi Grand Prix,HUL,Haas F1 Team,,,,,,,4.0,1:23.721,1:23.040,1:22.885,8.0,1:29.152
2024,Abu Dhabi Grand Prix,LAW,RB,12.0,1:25.563,11.0,1:24.503,17.0,1:24.519,12.0,1:23.733,1:23.471,,17.0,1:28.751
2024,Abu Dhabi Grand Prix,LEC,Ferrari,1.0,1:24.320,6.0,1:24.200,9.0,1:24.097,14.0,1:23.302,1:23.832,,3.0,1:28.018
2024,Abu Dhabi Grand Prix,MAG,Haas,8.0,1:25.444,8.0,1:24.234,8.0,1:24.093,,,,,,
2024,Abu Dhabi Grand Prix,MAG,Haas F1 Team,,,,,,,15.0,1:23.632,1:23.876,,16.0,1:25.637
2024,Abu Dhabi Grand Prix,NOR,McLaren,2.0,1:24.542,1.0,1:23.516,2.0,1:23.626,1.0,1:23.682,1:23.097,1:22.594,1.0,1:27.438
2024,Abu Dhabi Grand Prix,PER,Red Bull,10.0,1:25.483,14.0,1:24.555,10.0,1:24.283,,,,,,
2024,Abu Dhabi Grand Prix,PER,Red Bull Racing,,,,,,,10.0,1:23.558,1:23.379,1:23.263,20.0,
2024,Abu Dhabi Grand Prix,PIA,McLaren,,,2.0,1:23.751,1.0,1:23.433,2.0,1:23.640,1:23.198,1:22.804,10.0,1:27.689
2024,Abu Dhabi Grand Prix,RUS,Mercedes,4.0,1:25.165,13.0,1:24.534,6.0,1:24.075,7.0,1:23.677,1:23.283,1:23.132,5.0,1:28.194
2024,Abu Dhabi Grand Prix,SAI,Ferrari,,,4.0,1:24.099,5.0,1:23.870,3.0,1:23.486,1:22.984,1:22.823,2.0,1:27.765
2024,Abu Dhabi Grand Prix,STR,Aston Martin,,,18.0,1:24.686,18.0,1:24.531,13.0,1:23.728,1:23.784,,14.0,1:28.603
2024,Abu Dhabi Grand Prix,TSU,RB,,,10.0,1:24.496,11.0,1:24.343,11.0,1:23.734,1:23.418,,12.0,1:29.200
2024,Abu Dhabi Grand Prix,VER,Red Bull,,,17.0,1:24.597,4.0,1:23.843,,,,,,
2024,Abu Dhabi Grand Prix,VER,Red Bull Racing,,,,,,,5.0,1:23.516,1:22.998,1:22.944,6.0,1:27.765
2024,Abu Dhabi Grand Prix,ZHO,Kick Sauber,,,,,,,17.0,1:23.879,,,13.0,1:27.981
2024,Abu Dhabi Grand Prix,ZHO,Sauber,16.0,1:25.921,15.0,1:24.557,19.0,1:24.668,,,,,,
2024,Australian Grand Prix,ALB,Williams,12.0,1:19.442,,,13.0,1:17.759,12.0,1:17.129,1:17.167,,11.0,1:21.617
2024,Australian Grand Prix,ALO,Aston Martin,18.0,1:19.715,5.0,1:17.912,6.0,1:16.996,10.0,1:16.990,1:16.709,1:17.552,8.0,1:20.492
2024,Australian Grand Prix,BOT,Kick Sauber,,,,,,,13.0,1:17.543,1:17.340,,14.0,1:21.421
2024,Australian Grand Prix,BOT,Sauber,20.0,1:20.013,14.0,1:18.584,12.0,1:17.751,,,,,,
2024,Australian Grand Prix,GAS,Alpine,17.0,1:19.621,15.0,1:18.691,19.0,1:18.390,17.0,1:17.981,,,13.0,1:21.090
2024,Australian Grand Prix,HAM,Mercedes,9.0,1:18.771,18.0,1:18.834,4.0,1:16.805,11.0,1:17.498,1:16.959,,18.0,1:22.444
2024,Australian Grand Prix,HUL,Haas,16.0,1:19.603,16.0,1:18.701,16.0,1:17.941,,,,,,
2024,Australian Grand Prix,HUL,Haas F1 Team,,,,,,,16.0,1:17.975,,,9.0,1:21.144
2024,Australian Grand Prix,LEC,Ferrari,4.0,1:18.599,1.0,1:17.277,1.0,1:16.713,5.0,1:16.983,1:16.304,1:16.435,2.0,1:19.813
2024,Australian Grand Prix,MAG,Haas,13.0,1:19.489,19.0,1:19.275,17.0,1:17.960,,,,,,
2024,Australian Grand Prix,MAG,Haas F1 Team,,,,,,,14.0,1:17.709,1:17.427,,10.0,1:21.081
2024,Australian Grand Prix,NOR,McLaren,1.0,1:18.563,9.0,1:18.155,10.0,1:17.489,4.0,1:17.430,1:16.750,1:16.314,3.0,1:19.915
2024,Australian Grand Prix,OCO,Alpine,15.0,1:19.561,17.0,1:18.704,15.0,1:17.920,15.0,1:17.617,1:17.697,,16.0,1:21.353
2024,Australian Grand Prix,PER,Red Bull,6.0,1:18.641,8.0,1:18.090,7.0,1:17.013,,,,,,
2024,Australian Grand Prix,PER,Red Bull Racing,,,,,,,3.0,1:16.805,1:16.631,1:16.274,5.0,1:20.388
2024,Australian Grand Prix,PIA,McLaren,10.0,1:18.918,7.0,1:18.076,8.0,1:17.087,6.0,1:17.368,1:16.600,1:16.572,4.0,1:20.198
2024,Australian Grand Prix,RIC,RB,11.0,1:19.274,12.0,1:18.534,18.0,1:17.962,18.0,1:18.084,,,12.0,1:21.239
2024,Australian Grand Prix,RUS,Mercedes,3.0,1:18.596,6.0,1:17.950,5.0,1:16.885,7.0,1:17.061,1:16.900,1:16.724,17.0,1:20.284
2024,Australian Grand Prix,SAI,Ferrari,8.0,1:18.686,3.0,1:17.706,3.0,1:16.790,2.0,1:16.730,1:16.188,1:16.185,1.0,1:20.031
2024,Australian Grand Prix,STR,Aston Martin,7.0,1:18.667,4.0,1:17.822,9.0,1:17.340,9.0,1:17.376,1:16.780,1:17.072,6.0,1:20.930
2024,Australian Grand Prix,TSU,RB,5.0,1:18.620,10.0,1:18.188,11.0,1:17.673,8.0,1:17.355,1:16.790,1:16.787,7.0,1:21.134
2024,Australian Grand Prix,VER,Red Bull,2.0,1:18.581,2.0,1:17.658,2.0,1:16.733,,,,,,
2024,Australian Grand Prix,VER,Red Bull Racing,,,,,,,1.0,1:16.819,1:16.387,1:15.915,19.0,1:23.114
2024,Australian Grand Prix,ZHO,Kick Sauber,,,,,,,19.0,1:18.188,,,15.0,1:21.326
2024,Australian Grand Prix,ZHO,Sauber,19.0,1:19.989,11.0,1:18.421,14.0,1:17.876,,,,,,
